Subgraph	Loci	Num_of_clumps	Gene_list	Num_of_genes	Num_of_SNPs	Num_of_nodes Phens	
11_21_57_179_195	clump18	1	CDC42; WNT4	2	2	5	(179)Bilateral oophorectomy (both ovaries removed); (195)Heel bone mineral density (BMD) T-score, automated (left); (57)Non-cancer illness code, self-reported: uterine fibroids; (179)Diagnoses - main ICD10: N81 Female genital prolapse; (11)Forced vital capacity (FVC); (195)Heel bone mineral density (BMD) T-score, automated; (11)Forced vital capacity (FVC), Best measure; (21)Sitting height; (195)Heel bone mineral density (BMD) T-score, automated (right)
35_36_65_72	clump15	1	NME7; F5; ATP1B1; SLC19A2	4	8	4	(35)Diagnoses - main ICD10: I26 Pulmonary embolism; (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the lung; (35)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Blood clot in the leg (DVT); (35)Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis; (35)Non-cancer illness code, self-reported: deep venous thrombosis (dvt); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (72)Treatment/medication code: warfarin; (35)Non-cancer illness code, self-reported: pulmonary embolism +/- dvt; (65)Non-cancer illness code, self-reported: hereditary/genetic haematological disorder
1_11_14_20_21_71_73_181	clump8	1	EIF2B4; GCKR	2	9	8	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (73)Treatment/medication code: atorvastatin; (71)Non-cancer illness code, self-reported: gout; (21)Weight; (11)Daytime dozing / sleeping (narcolepsy); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Trunk predicted mass; (21)Arm predicted mass (left); (1)Pulse rate; (1)Pulse rate, automated reading; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (11)Alcohol intake frequency.; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Diabetes diagnosed by doctor; (21)Sitting height; (20)Alcohol intake versus 10 years previously; (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (21)Whole body fat-free mass; (181)Sodium in urine; (21)Leg fat-free mass (left); (73)Non-cancer illness code, self-reported: high cholesterol; (71)Treatment/medication code: allopurinol
1_11_20_21_71_73_181	clump8	1	EIF2B4; GCKR	2	12	7	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (73)Treatment/medication code: atorvastatin; (71)Non-cancer illness code, self-reported: gout; (21)Weight; (11)Daytime dozing / sleeping (narcolepsy); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Trunk predicted mass; (21)Arm predicted mass (left); (1)Pulse rate; (1)Pulse rate, automated reading; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (11)Alcohol intake frequency.; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Diabetes diagnosed by doctor; (21)Sitting height; (20)Alcohol intake versus 10 years previously; (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (21)Whole body fat-free mass; (181)Sodium in urine; (21)Leg fat-free mass (left); (73)Non-cancer illness code, self-reported: high cholesterol; (71)Treatment/medication code: allopurinol
1_11_14_21_71_73_181	clump8	1	C2orf16; EIF2B4; GCKR	3	10	7	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (73)Treatment/medication code: atorvastatin; (71)Non-cancer illness code, self-reported: gout; (21)Weight; (11)Daytime dozing / sleeping (narcolepsy); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Trunk predicted mass; (21)Arm predicted mass (left); (1)Pulse rate; (1)Pulse rate, automated reading; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (11)Alcohol intake frequency.; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Diabetes diagnosed by doctor; (21)Sitting height; (20)Alcohol intake versus 10 years previously; (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (21)Whole body fat-free mass; (181)Sodium in urine; (21)Leg fat-free mass (left); (73)Non-cancer illness code, self-reported: high cholesterol; (71)Treatment/medication code: allopurinol
1_11_21_71_73_181	clump8	1	C2orf16; GPN1; CCDC121; GCKR; ZNF512; EIF2B4	6	46	6	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (73)Treatment/medication code: atorvastatin; (71)Non-cancer illness code, self-reported: gout; (21)Weight; (11)Daytime dozing / sleeping (narcolepsy); (21)Impedance of arm (left); (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Trunk predicted mass; (21)Arm predicted mass (left); (1)Pulse rate; (1)Pulse rate, automated reading; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (11)Alcohol intake frequency.; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Diabetes diagnosed by doctor; (21)Sitting height; (20)Alcohol intake versus 10 years previously; (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (21)Whole body fat-free mass; (181)Sodium in urine; (21)Leg fat-free mass (left); (73)Non-cancer illness code, self-reported: high cholesterol; (71)Treatment/medication code: allopurinol
1_3_11_21_33_195	clump14	1	RNF123; IP6K1; CAMKV; TRAIP; MIR5193; UBA7; CDHR4	7	21	6	(21)Body mass index (BMI); (21)Leg fat mass (right); (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (21)Body fat percentage; (195)Heel bone mineral density (BMD) T-score, automated (right); (21)Arm fat percentage (right); (1)Pulse rate, automated reading; (195)Heel bone mineral density (BMD) T-score, automated (left); (195)Heel bone mineral density (BMD) T-score, automated; (3)Time spent watching television (TV); (21)Whole body fat mass; (11)Qualifications: College or University degree; (21)Leg fat percentage (right); (21)Trunk fat mass; (21)Arm fat mass (left); (3)Qualifications: A levels/AS levels or equivalent; (33)Diastolic blood pressure, automated reading; (21)Arm fat mass (right); (21)Trunk fat percentage; (21)Leg fat mass (left)
3_11_14_21_33_153	clump40; clump14	2	C2; TRAIP	2	7	6	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (3)Age at last live birth; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Waist circumference; (21)Weight; (21)Arm fat percentage (left); (33)Non-cancer illness code, self-reported: hypertension; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (153)Fluid intelligence score; (21)Impedance of arm (left); (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Body fat percentage; (21)Trunk predicted mass; (3)Overall health rating; (21)Arm fat percentage (right); (3)Age completed full time education; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (3)Usual walking pace; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat-free mass (right); (11)Qualifications: College or University degree; (21)Leg fat percentage (right); (21)Arm predicted mass (right); (33)Vascular/heart problems diagnosed by doctor: None of the above; (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (21)Trunk fat mass; (167)Hearing difficulty/problems with background noise; (14)Number of treatments/medications taken; (21)Sitting height; (14)Wheeze or whistling in the chest in last year; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Arm fat mass (left); (14)Taking other prescription medications; (21)Whole body water mass; (3)Job involves heavy manual or physical work; (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (3)Qualifications: A levels/AS levels or equivalent; (3)Qualifications: None of the above; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (3)Age at first live birth; (21)Trunk fat-free mass; (21)Trunk fat percentage; (21)Arm fat-free mass (left); (21)Arm fat mass (right); (21)Leg fat mass (left); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (3)Job involves mainly walking or standing; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol; (21)Hip circumference
3_11_14_20_21_153_195	clump14	1	SEMA3F-AS1	1	2	7	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (3)Age at last live birth; (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (153)Fluid intelligence score; (21)Impedance of arm (left); (21)Trunk predicted mass; (21)Body fat percentage; (3)Age completed full time education; (3)Overall health rating; (21)Arm fat percentage (right); (21)Arm predicted mass (left); (3)Usual walking pace; (11)Alcohol intake frequency.; (195)Heel bone mineral density (BMD) T-score, automated; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat-free mass (right); (11)Qualifications: College or University degree; (21)Leg fat percentage (right); (21)Arm predicted mass (right); (21)Trunk fat mass; (14)Number of treatments/medications taken; (14)Wheeze or whistling in the chest in last year; (21)Arm fat mass (left); (20)Alcohol intake versus 10 years previously; (14)Taking other prescription medications; (21)Whole body water mass; (3)Job involves heavy manual or physical work; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (3)Qualifications: A levels/AS levels or equivalent; (3)Qualifications: None of the above; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (3)Age at first live birth; (21)Trunk fat-free mass; (21)Trunk fat percentage; (21)Impedance of leg (right); (21)Arm fat-free mass (left); (21)Arm fat mass (right); (21)Leg fat mass (left); (3)Job involves mainly walking or standing; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (21)Hip circumference
3_11_14_21_153_195	clump14	1	SEMA3F-AS1; MIR566	2	4	6	(21)Impedance of arm (right); (21)Body mass index (BMI); (21)Leg fat mass (right); (3)Age at last live birth; (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (153)Fluid intelligence score; (21)Impedance of arm (left); (21)Trunk predicted mass; (21)Body fat percentage; (3)Age completed full time education; (3)Overall health rating; (21)Arm fat percentage (right); (21)Arm predicted mass (left); (3)Usual walking pace; (11)Alcohol intake frequency.; (195)Heel bone mineral density (BMD) T-score, automated; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat-free mass (right); (11)Qualifications: College or University degree; (21)Leg fat percentage (right); (21)Arm predicted mass (right); (21)Trunk fat mass; (14)Number of treatments/medications taken; (14)Wheeze or whistling in the chest in last year; (21)Arm fat mass (left); (20)Alcohol intake versus 10 years previously; (14)Taking other prescription medications; (21)Whole body water mass; (3)Job involves heavy manual or physical work; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (3)Qualifications: A levels/AS levels or equivalent; (3)Qualifications: None of the above; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (3)Age at first live birth; (21)Trunk fat-free mass; (21)Trunk fat percentage; (21)Impedance of leg (right); (21)Arm fat-free mass (left); (21)Arm fat mass (right); (21)Leg fat mass (left); (3)Job involves mainly walking or standing; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (21)Hip circumference
11_21_33_154_159	clump3; clump22	2	LCORL; HIST1H4E; HIST1H2BE	3	4	5	(21)Leg fat mass (right); (21)Leg fat percentage (left); (21)Waist circumference; (21)Arm fat percentage (left); (21)Weight; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (33)Vascular/heart problems diagnosed by doctor: None of the above; (21)Body fat percentage; (21)Arm predicted mass (left); (21)Arm fat percentage (right); (159)Forced expiratory volume in 1-second (FEV1), predicted; (3)Time spent watching television (TV); (21)Whole body fat mass; (21)Leg fat-free mass (right); (11)Qualifications: College or University degree; (21)Leg fat percentage (right); (21)Arm predicted mass (right); (24)Pack years adult smoking as proportion of life span exposed to smoking PREVIEW ONLY; (21)Trunk fat mass; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (21)Arm fat mass (left); (21)Whole body water mass; (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Standing height; (3)Qualifications: A levels/AS levels or equivalent; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (153)Mouth/teeth dental problems: Dentures; (21)Basal metabolic rate; (21)Hip circumference; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Trunk fat percentage; (21)Arm fat mass (right); (21)Leg fat mass (left); (11)Peak expiratory flow (PEF); (11)Hand grip strength (right); (21)Whole body fat-free mass; (24)Pack years of smoking PREVIEW ONLY; (21)Leg fat-free mass (left); (11)Forced expiratory volume in 1-second (FEV1); (154)Birth weight
