pathway	n_phen	n_clust	enrich_un_n2	un_n2_erich
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	29	11	3	3
chr16q24	25	12	4	2
ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	37	11	3	2
GRATIAS_RETINOBLASTOMA_16Q24	12	6	2	1
GSE45365_CD8A_DC_VS_CD11B_DC_DN	35	13	5	3
GSE28408_LY6G_POS_VS_NEG_DC_UP	61	16	6	5
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP	59	17	7	4
KEGG_MELANOGENESIS	57	14	6	4
CHIN_BREAST_CANCER_COPY_NUMBER_DN	32	9	3	2
GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_UP	53	15	6	3
GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_DN	44	8	3	2
GSE18804_SPLEEN_MACROPHAGE_VS_TUMORAL_MACROPHAGE_DN	57	18	6	5
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	117	54	15	10
GSE18804_SPLEEN_MACROPHAGE_VS_BRAIN_TUMORAL_MACROPHAGE_DN	56	14	6	3
GSE26928_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN	40	14	6	5
GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP	58	19	7	5
GRADE_COLON_CANCER_UP	66	19	11	5
NUYTTEN_EZH2_TARGETS_DN	63	19	8	5
chr20q11	43	13	4	3
DELACROIX_RARG_BOUND_MEF	64	19	8	5
BCAT_GDS748_DN	32	8	4	2
REACTOME_METABOLISM_OF_PROTEINS	54	16	5	3
CAGGTG_E12_Q6	145	74	22	11
GGGAGGRR_MAZ_Q6	130	61	17	11
TGGAAA_NFAT_Q4_01	134	70	17	9
GGGCGGR_SP1_Q6	127	56	19	11
TTGTTT_FOXO4_01	143	79	18	10
AACTTT_UNKNOWN	136	72	18	10
CTTTGT_LEF1_Q2	126	68	19	8
RYTTCCTG_ETS2_B	92	43	13	7
RNGTGGGC_UNKNOWN	92	40	15	8
GCANCTGNY_MYOD_Q6	101	46	15	10
TTANTCA_UNKNOWN	105	46	14	10
CAGGTA_AREB6_01	97	45	15	7
CAGCTG_AP4_Q5	102	48	13	7
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	98	43	12	7
GGGTGGRR_PAX4_03	96	41	13	9
PILON_KLF1_TARGETS_DN	88	37	14	6
CTGCAGY_UNKNOWN	92	41	11	7
RTAAACA_FREAC2_01	109	54	16	8
PUJANA_BRCA1_PCC_NETWORK	84	30	14	8
CACGTG_MYC_Q2	89	33	13	9
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	75	27	12	8
BLALOCK_ALZHEIMERS_DISEASE_UP	98	43	12	9
GTGCCTT_MIR506	81	33	12	7
DODD_NASOPHARYNGEAL_CARCINOMA_UP	95	44	13	7
SCGGAAGY_ELK1_02	70	21	10	7
DOUGLAS_BMI1_TARGETS_UP	68	24	9	4
TGANTCA_AP1_C	93	41	14	6
TGGNNNNNNKCCAR_UNKNOWN	72	24	11	7
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	76	31	9	6
MARTENS_BOUND_BY_PML_RARA_FUSION	65	20	10	5
SOX9_B1	70	25	12	4
TCCATTKW_UNKNOWN	61	17	8	5
TATAAA_TATA_01	108	51	15	11
MGGAAGTG_GABP_B	77	26	11	7
WTGAAAT_UNKNOWN	91	39	13	6
BENPORATH_ES_WITH_H3K27ME3	113	54	15	9
DANG_BOUND_BY_MYC	81	29	13	7
GATTGGY_NFY_Q6_01	88	32	11	8
chr12q24	51	17	6	3
chr6p21	51	11	3	2
CTCAGGG_MIR125B_MIR125A	62	18	8	5
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	67	22	8	6
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	100	42	15	11
ENK_UV_RESPONSE_KERATINOCYTE_UP	60	18	9	4
NERF_Q2	62	15	7	5
YOSHIMURA_MAPK8_TARGETS_UP	116	48	17	10
POU3F2_02	74	32	9	2
SREBP1_Q6	65	20	9	6
TGACAGNY_MEIS1_01	95	45	13	7
TAATTA_CHX10_01	102	47	14	8
KRIEG_HYPOXIA_NOT_VIA_KDM3A	66	21	7	4
CTTTGA_LEF1_Q2	112	56	15	9
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	54	14	8	5
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	112	54	15	8
MARSON_BOUND_BY_FOXP3_UNSTIMULATED	82	33	13	8
BLALOCK_ALZHEIMERS_DISEASE_DN	93	44	9	6
REACTOME_SIGNALLING_BY_NGF	60	18	9	5
FISCHER_DREAM_TARGETS	72	24	9	5
TGACCTY_ERR1_Q2	97	48	15	7
GTGACGY_E4F1_Q6	71	22	11	7
NRF1_Q6	69	22	11	7
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	105	48	13	7
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	69	22	11	8
BENPORATH_SOX2_TARGETS	73	26	13	5
CDC5_01	79	33	12	5
TGCCTTA_MIR124A	75	31	12	4
GSE22313_HEALTHY_VS_SLE_MOUSE_CD4_TCELL_UP	59	15	7	5
TGTTTGY_HNF3_Q6	94	42	13	6
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	70	27	11	5
PHONG_TNF_RESPONSE_VIA_P38_COMPLETE	62	20	10	4
PAX2_02	80	31	14	7
GCGNNANTTCC_UNKNOWN	55	14	4	2
CHEN_METABOLIC_SYNDROM_NETWORK	75	26	13	6
WTTGKCTG_UNKNOWN	85	37	12	6
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	87	40	12	6
CATTGTYY_SOX9_B1	77	28	12	5
TTGCCAA_MIR182	75	28	12	6
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	62	22	8	3
FIRESTEIN_PROLIFERATION	63	21	10	4
