index	0	1	2
GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP	2.7395672196467573e-06	0.007542713447492434	(17776, 4, 158, 3, 'PLG;FURIN;LDLR')
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP	2.3899247813575133e-06	0.007542713447492434	(17776, 4, 151, 3, 'CDKN2B;PLG;LDLR')
GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP	2.43794052540485e-06	0.007542713447492434	(17776, 4, 152, 3, 'CDKN2B;PLG;LDLR')
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	2.3899247813575133e-06	0.007542713447492434	(17776, 4, 151, 3, 'SMARCA4;CDKN2B;PLG')
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	5.805040972775132e-06	0.012786183246634506	(17776, 4, 18, 2, 'PLG;FURIN')
REACTOME_LIPOPROTEIN_METABOLISM	9.595582947553651e-06	0.017612692500234728	(17776, 4, 23, 2, 'LPA;LDLR')
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	2.125959442350919e-05	0.033447416198015244	(17776, 4, 34, 2, 'LPA;LDLR')
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	2.9545476022974394e-05	0.038754582101890506	(17776, 4, 40, 2, 'FES;PLG')
ACEVEDO_LIVER_CANCER_DN	3.1670865242623676e-05	0.038754582101890506	(17776, 4, 357, 3, 'PLG;FURIN;LDLR')
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	3.7485943805202595e-05	0.04128326991266962	(17776, 4, 45, 2, 'CDKN2B;FURIN')
PID_P75_NTR_PATHWAY	5.018204403194818e-05	0.04969395633959095	(17776, 4, 52, 2, 'PLG;FURIN')
PID_RB_1PATHWAY	5.414759612050226e-05	0.04969395633959095	(17776, 4, 54, 2, 'SMARCA4;CDKN2A')
