index	0	1	2
GGGCGGR_SP1_Q6	4.787713853159418e-100	3.103309070275151e-96	(17776, 525, 1579, 226, 'DEF6;ZDHHC7;PSMA1;CNOT4;SENP1;C1QL1;SNX17;SUPT16H;ITGB8;OS9;NUCB2;PLEKHM1;TRIM8;PRRG2;PPM1A;IFI27L1;PDXDC1;VGLL2;UBE2Z;RILPL2;IQGAP1;ITSN2;ERBB3;C14orf1;ORAI3;SSH2;MAPT;AP1G1;GRB2;MFGE8;TP53;TCF4;SEC24C;TGFB1;KPNB1;SMOC1;DDX50;SLC9A8;ATAD5;SCRIB;FBXL19-AS1;SPAG4;ZNF512;ABHD15;B9D2;SLC38A1;ESRP2;KCNMA1;SPRYD3;LARP4;ZDHHC1;ANKS1A;KPNA3;DCAF7;PAX2;RAB11A;BRAF;LZTS2;KCTD5;MRPS33;AHCY;ZNF414;PLA2G15;EML3;IREB2;DLEU1;DPP8;ZNF143;FBXL19;EIF2S2;RANBP10;BCL7C;PSMA4;RALY;PSMC5;FRS3;SALL1;NUFIP2;RNF24;SLC13A4;PLEC;KCNH2;FBP1;SHKBP1;KBTBD4;PITPNM1;ADAMTSL3;TOP2A;WAC;CHRNB1;SNX11;PTCH1;HABP4;EZH2;WNT3;SPSB3;GFOD2;AGAP2;SMG6;DENND4A;SNRNP48;BMP2;SAMD4A;ATP1B2;RBM12;TBX3;ZNF668;FNBP4;MAFF;RAB2B;NOSIP;STRADA;TP53INP2;SIX6;GNA12;ADAP2;ZCCHC24;PSMC3;ADAMTS13;FLVCR2;ZNF408;IL23A;KLHL25;WNT9B;PTPN1;ARFGAP3;DDB2;NCOA6;TET2;HMGA1;PDPR;ASPSCR1;AP3D1;CRHR1;NDUFA13;PIP4K2B;TSSK6;SLC39A5;SUGP1;IKZF4;HES7;NUDT16L1;PARD6A;SLC9A5;TLK2;NPC2;ZCCHC8;POLR2A;SNTB2;NOTCH1;MIR17HG;BAMBI;SMAD3;GOLGA6A;MRPL43;PDLIM4;ELN;CASKIN1;RPS3;RPUSD4;BCL2L2;CPD;SIX5;NPEPPS;ERC1;IGF2-AS;NDRG2;SMARCD2;ERF;STX4;XRN2;PPARA;EYA4;TRPS1;MYO9A;PRDM12;TSNAXIP1;HMG20A;NFE2L1;CSE1L;MTCH2;PACSIN2;NDST2;NOTUM;TRIB1;IGF2BP1;TAF8;FKBP5;EGR2;PELI3;PAN2;ARIH1;ILF3;IL11;FKBP9;E4F1;RIMS1;SFXN2;KDM2A;CELF1;DLEU2;SIN3A;PCSK5;CPNE1;FLII;HEXIM2;CLIP1;SOCS2;CBFA2T3;BLMH;TRIM27;CDKN1B;NSRP1;KCNJ2;MAPRE1;TAF11;RSF1;LIMD2;CST6;DACT2;IGF2;PDS5B;SMAD6;ZNF367;BRSK1;XRCC6;ID4;IGF1R;WFIKKN1;NUBP2;C16orf72;FHOD1;CBFB;PHF21A;CELF6;RNF40;SLC39A11;ZNF282;COL9A3;ROM1;CORO1A;COL2A1;PSIP1;SIPA1;KANK2;SEC11A;SLC12A4;RBBP8;JAG1;ARHGAP27;GSTP1;SENP8;PSMB3;RSPH6A;PPP4R4;HIC1;SOX5;USP3;NFAT5;ZNF646;SEMA7A;ABHD2;ZBTB7A;FOXO3;PRICKLE4;TRA2A;ARL3;ARHGAP1;RABGGTA;TFAP4;DNM2;DLGAP4;SMYD4;ABCB9;ATOH7;CS;TPPP3;CTCF;ARMC2;SREBF2;EIF2B4;RCE1;COMMD4;ZSCAN2;HOXB9;TNFRSF21;GPD1;MYO18A;MTMR3;SYMPK;LRP1;RAB1B;DLEU7;SSR1;RAPGEFL1;TBX2;IPO7;SIX4;DNMT3A;CD2AP;PTHLH;TEAD3;SHMT1;DDX42;ERGIC3;MPDU1;SART1;ZBTB4;STARD3NL;FRS2;FTSJ3;NUTF2;AXIN2;INSR;HSD11B2;MAP3K3;MAF1;E2F1;AIP;CDK2;IGF2BP3')
CAGGTG_E12_Q6	1.3928587294920696e-95	4.514128518762936e-92	(17776, 525, 1528, 218, 'DEF6;CNOT4;SKAP1;SNX17;ITGB8;MPPED2;TRIM8;C11orf24;PRRG2;OSBPL7;TBC1D21;FAM83H;IQGAP1;SERGEF;ERBB3;C14orf1;ITSN2;S1PR2;SSH2;MAPT;LIMA1;GRB2;SPRY2;SPIN1;TNFSF13;STRA6;SMOC1;CCAR1;LTBP2;ATAD5;MAPK14;NDUFB8;C1QTNF4;FAM53B;STC1;DMPK;TAOK1;ESRP2;CHCHD7;KCNMA1;SLX4;FGF11;LARP4;ZHX2;TMEM134;ANKS1A;PAX2;WWP2;PCGF5;DAPK1;LZTS2;DOCK5;EML3;AKTIP;FRS3;SSH3;SCAND1;SURF4;NUFIP2;PLEC;KCNH2;FBP1;ENPP2;POU2F3;SHKBP1;SPI1;SLIT2;ATP6V0D1;ARHGEF12;HOXB6;CHRNB1;EPDR1;NKX3-1;WNT7B;TMEM106C;EZH2;WNT3;CDH13;CNNM2;CIC;AGAP2;TMED6;DENND4A;ADAMTS8;GADD45G;RBL1;BMP6;OMG;PLA2G6;GNA12;IL23A;COQ10A;WNT9B;KCNB1;SOX15;CDON;RAB26;NCOA6;LOC100289580;HMGA1;FZD2;GRIK5;PABPN1;LRP5;KCNJ11;SLC39A5;HES7;DOC2A;NFATC4;PLCD3;TLK2;ANK3;POLG2;LMF1;PIP4K2C;CKB;ZNF462;SLC26A10;CCDC78;SMAD3;JAZF1;ELN;CASKIN1;RPUSD4;NPEPPS;TLE1;IGF2-AS;GAL3ST3;ERC1;SMARCD2;STX4;PPARA;ADAM11;SCUBE3;EYA4;TRPS1;MAP3K14;NOV;CDK2AP2;TERF2;MYBPC3;TRIB1;GCH1;ADAMTS17;SEC31B;IGF2BP1;FKBP5;PELI3;SMOC2;FLII;CELF1;TGFB3;SIN3A;RHBDL1;CPNE1;NPR3;WDR90;GNAS;KCNJ2;CBFA2T3;ASS1;TAF11;RSF1;CXCR5;PC;FGFRL1;IGF2;BRSK1;CAMK2G;IRF1;IGF1R;FHOD1;TTC28;SRPK1;ESR1;ATP13A1;CNTLN;RREB1;ROM1;CORO1A;COL2A1;PSIP1;SIPA1;ZNF664;TTLL6;JAG1;COL9A3;DLK1;C17orf82;HIC1;GFAP;PTPRJ;BNC2;TMEM176A;FBXL16;KCNQ1;SMURF2;PLAG1;ALDOA;ASB2;CYP1A1;ACAA2;ATOH7;SEMA4G;THAP11;LIF;SREBF2;EIF2B4;GIT1;TNFRSF21;CAMK1D;GPD1;MYO18A;KCTD13;DLEU7;MPHOSPH9;TMEM176B;TBX2;RAB5B;DNMT3A;PDE3A;CD2AP;HDAC9;PTHLH;MADD;PSTPIP1;ZNF521;FMNL1;ZBTB4;NR1H3;FIG4;VDR;ITPK1;RHOD;AXIN2;HSD11B2;WWOX;MAF1;E2F1;PKIA;CDK2')
GGGAGGRR_MAZ_Q6	1.219117913686264e-89	2.634033552903959e-86	(17776, 525, 1333, 199, 'ZBTB26;CNOT4;SENP1;SUPT16H;ITGB8;NLGN2;ZNF579;TRIM8;PRRG2;PPM1A;OSBPL7;UBE2Z;RILPL2;ERBB3;ELOVL4;S1PR2;ORAI3;MAPT;TP53;TCF4;TNFSF13;SEC24C;KPNB1;DDX50;ATAD5;EPB41L1;FBXL19-AS1;SMARCA4;C1QTNF4;FAM53B;TRMT11;STC1;DMPK;TAOK1;SLC38A1;CHCHD7;KCNMA1;MAX;FGF11;CSH2;NF1;STAT6;CDK6;PAX2;WWP2;CCND1;RORA;FOXO1;DLC1;ACAN;RANBP10;ACTR1A;PLA2G15;ZNF143;TNRC6A;FBXL19;RALY;SALL1;FRS3;PAPPA;NUFIP2;PLEC;KCNH2;POU2F3;SHKBP1;GH2;SPI1;PITPNM1;SENP3;N4BP2L2;ARHGEF12;MRC2;HOXB6;WAC;WNT3;CALD1;GADD45G;CNNM2;AGAP2;CIC;BMP2;ZNF668;ATP1B2;SUPT3H;TBX3;LCAT;NOSIP;FBN1;TBX6;NECAB3;MAPK3;VPS13C;IL23A;SOX15;ADCY4;CDON;HMGA2;PRSS8;HSD17B2;HMGA1;AP3D1;CRHR1;PRTFDC1;KCNJ11;SLC39A5;TMEM86A;DNMT1;IKZF4;NFATC4;TLK2;NOTCH1;MIR17HG;ZNF462;JAZF1;TUT1;BCL2L2;SIX5;NPEPPS;ERC1;NDRG2;XRN2;ERF;ADAM11;SCUBE3;RBM39;FAM57B;TRPS1;PRDM12;CDK2AP2;HMG20A;HOMER2;TSNAXIP1;TERF2;NDST2;MYBPC3;NOB1;TRIB1;IGF2BP1;RARA;B4GALNT1;EGR2;PELI3;ILF3;FLI1;IL11;NUDT3;RIMS1;KDM2A;CELF1;TGFB3;SIN3A;HEXIM2;NPR3;WDR90;GNAS;CLIP1;SOCS2;MSI1;SLC39A13;CBFA2T3;ASS1;RSF1;CXCR5;FGFRL1;IGF2;PDS5B;SUFU;ALKBH5;GH1;ID4;CSH1;CSHL1;CAMK2G;PENK;IGF1R;WFIKKN1;ESR1;PHF21A;CELF6;SLC39A11;CORO1A;PSIP1;SIPA1;FAM65A;TTLL6;SLC12A4;JAG1;CCND2;PARP12;SOX5;ZNF341;PTPRJ;BNC2;TLE3;ZNF646;SEMA7A;GRK5;FOXO3;PLAG1;TFAP4;RABGGTA;ALDOA;SIX1;ASB2;LIF;CS;CTCF;HOXB9;ZSCAN2;PHKG2;LRP1;GSS;RAPGEFL1;SSR1;TBX2;SIX4;RAB5B;DNMT3A;TEAD3;SH2B3;ZNF521;ERGIC3;FMNL1;ZBTB4;NR1H3;SLC25A37;PI15;FAM46A;DDX6;NUTF2;MAP3K3;ANKRD11;E2F1;AIP;PGC;POLR2A;IGF2BP3')
TTGTTT_FOXO4_01	1.7288085890346178e-83	2.8014557363220063e-80	(17776, 525, 1344, 193, 'SKAP1;RUNX2;ITGB8;NAV3;TRIM8;EDC4;PIK3C2A;ERBB3;ELOVL4;S1PR2;SSH2;KCNJ16;MFGE8;TP53;HCAR3;TCF4;SMOC1;NDUFB8;SMARCA4;FAM53B;STC1;MSRB3;HCAR1;SYNM;CHCHD7;ESRP2;ZHX2;AKR1E2;ANKS1A;NF1;STAT6;CDK6;PCGF5;PAX2;SLC38A2;LZTS2;DLC1;FOXO1;RANBP10;IREB2;AKTIP;TEAD1;ZNF143;TNRC6A;NFATC3;PAM;C6orf106;PAPPA;NUFIP2;RNF24;ETS1;ENPP2;BBS4;MRC2;HCAR2;HOXB6;ATP5J2;PTCH1;SPSB3;HOXB13;TMEM196;DENND4A;TBX4;ATP1B2;TBX3;TSPAN9;MAFF;PPP6R3;BCL7A;OMG;TBX6;NDUFB2;MAPK3;NT5C2;HMGA2;NCOA6;PDPR;XPO7;LRP5;NRBF2;SENP6;IKZF4;LYRM1;ROMO1;ANK3;SNTB2;LLGL1;SLC22A2;PDE3B;MIR17HG;CKB;BAMBI;SMAD3;CDC14B;TMIGD1;PDLIM4;CCDC53;RPUSD4;BCL2L2;DDX25;TLE1;IGF1;SYTL2;PCNA;TWIST1;SCUBE3;RBM39;TRPS1;PRDM12;MARK3;HOMER2;EBF2;ZNF219;TRIB1;GCH1;PSKH1;NSF;FKBP5;EGR2;APOLD1;ILF3;FLI1;NUDT3;KDM2A;TGFB3;CPNE1;GNAS;KBTBD2;MSI1;CDKN1B;TAF11;RSF1;CXCR5;NMBR;SMAD6;ZNFX1;ID4;CDK2;PENK;IGF1R;NUBP2;CBFB;CREB5;PHF21A;CELF6;RREB1;ECM2;CORO1A;JAG1;ZNF664;NOS3;NRN1L;CBFA2T2;KCNJ15;SOX5;USP3;BNC2;BRD3;RBM4;TLE3;FILIP1;GRK5;PLAG1;TFAP4;DLGAP4;ADAM28;SIX1;LIF;CDS2;RBL2;USP49;SEMA4G;TPPP3;RIOK3;ALOXE3;HOXB9;ZSCAN2;GIT1;TNFRSF21;MYO18A;CRYBA1;GSS;RAB1B;DLEU7;NFS1;PSTPIP1;HDAC9;CUL1;ZNF521;SPON1;VDR;FRS2;AXIN2;DDX6;INSR;PMCH;MAP3K3;PKIA;MRPL11;RORA')
BLALOCK_ALZHEIMERS_DISEASE_UP	1.9380821948249833e-75	2.5124592816549336e-72	(17776, 525, 1088, 167, 'CPM;SH3GL3;RUNX2;OS9;ITGB8;NPC1;TAOK2;RPGRIP1;CD164;IQGAP1;TP53;SEC24C;TGFB1;NUP160;KPNB1;STAU1;LTBP2;SCRIB;GOSR1;PARD3;ZMIZ1;RPS10;DMPK;SLC38A1;MAX;SYNM;USP7;DMWD;LARP4;ADCY3;NQO1;STAT6;WWP2;DCAF7;FOXO1;MYO6;DLEU1;NFATC3;LIPG;RALY;SSH3;RNF24;COPB1;PDIA4;GRB10;PLEC;DUT;NEIL1;SENP3;MRC2;SLC2A4RG;MYO9B;LHX3;FANCE;WNT7B;SNX11;PTCH1;SPSB3;CALD1;GADD45G;EVI2A;RBL1;HRH4;MAFF;NUP205;NOSIP;PPP6R3;FBN1;PLA2G6;TBX6;ANP32B;GNA12;AKR1C1;PPARD;TAT;ISLR;CRADD;PABPN1;CDK2AP1;SMOX;GTF3C2;SMARCD1;IKZF4;UBN1;C9orf3;TOP3A;SNRNP35;NCAPG;PDLIM4;PML;CDC16;GAS1;ERF;TRPS1;MARK3;NFE2L1;MAP3K14;PACSIN2;LAMA2;UPF3A;PSKH1;FLII;KDM2A;AKAP13;PCSK5;KBTBD2;CDK10;TAF11;RSF1;DDX27;NCOR2;PC;PKD1;CTAGE1;ID4;MAP2K2;IGF1R;CBFB;PHF21A;RREB1;ECM2;CTDSP2;SNTA1;SEC11A;ECI1;LRP4;COL6A2;SFRP4;KCNJ15;SDCCAG3;GFAP;DLG5;USP3;CHMP1A;BRD3;TLE3;GRK5;FOXO3;PLAG1;ARHGAP1;SEMA4G;SREBF2;RIN3;RIOK3;SLC7A6;HNRNPH3;CCND3;NMB;RAB1B;PHF20;BRAP;DSE;PDE3A;USP10;EVI2B;DDX21;WIPF2;DDX42;SART1;SLC25A21;NFIC;ITPK1;INSR;FAM46A;DDX6;WWOX;MAP3K3;XBP1;PGC;CDK2')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	4.338833255251543e-73	4.656516023929404e-70	(17776, 525, 1171, 170, 'CNOT4;SENP1;RAD51B;RUNX2;LIMK1;ATXN2;BAG5;MNAT1;ATP5G1;PIK3C2A;RILPL2;SERGEF;C14orf1;ITSN2;KIAA1217;MAPT;LIMA1;AP1G1;TCF4;SPIN1;TNFSF13;NUP160;DNA2;KPNB1;SLC9A8;CBX1;STC1;PARD3;SEH1L;B9D2;METRN;FANCC;MRPL42;TAOK1;METTL1;TRIP11;AKR1E2;KPNA3;NF1;PEAK1;CHEK2;STAT6;IPO8;BRAF;LZTS2;YEATS4;DOCK5;PLA2G15;NFATC3;TNRC6A;EIF2S2;AMZ1;FRS3;IBTK;BYSL;TCP11;ASAP1;ETS1;TCF25;FAM118A;SHKBP1;RAB18;DIP2B;ARHGEF12;TOP2A;WAC;UTRN;PTCH1;HSD3B7;CDK5RAP1;SNRNP48;RBL1;EBPL;ATP5SL;STRADA;RSRC2;ANP32B;GNA12;MAPK3;HMGA2;RHOT2;FZD2;CYB5B;PIGU;XPO7;AP3D1;CRADD;PABPN1;JMJD8;SENP6;NUDT16L1;PARD6A;ZCCHC8;LMF1;PTRHD1;SAAL1;XPO4;FANCA;EXOSC5;CCDC43;BCL2L2;CKAP5;ERC1;IGF1;STX4;TRPS1;RBM39;MYO9A;HOMER2;MTCH2;EPB41L2;BCKDK;TRIB1;ITCH;TAF8;ANAPC4;ILF3;ARIH1;MAP6;SIN3A;CPNE1;CCDC91;CEP152;CLIP1;SOCS2;CDKN1B;CAMK2G;RILPL1;IGF1R;TTC28;PHF21A;SLC39A11;BCKDHB;ZNF282;CNTLN;RREB1;NEAT1;PSIP1;CTDSP2;ECI1;KANK2;POLD3;TRIL;NMT1;TMEM176A;PCGF2;KDM4B;GRK5;TFAP4;SPDEF;DIABLO;ALDOA;ZSCAN12;RABGGTA;BNIP3;ACAA2;SREBF2;CTCF;CDK4;RCE1;MTMR3;SLC44A2;POLR3A;SSR1;TMEM176B;HIVEP2;PHF20;CD2AP;SUZ12;DYM;ZNF521;NFIC;DDX6;NUTF2;SUOX;WWOX;PFKM;XBP1;CDK2')
TGGAAA_NFAT_Q4_01	5.028776070723198e-73	4.656516023929404e-70	(17776, 525, 1233, 174, 'DEF6;PSMA1;SENP1;C1QL1;SUPT16H;ITGB8;ZFAT;MRPL28;NAV3;TRIM8;FERD3L;EDC4;ATP5G1;RILPL2;ERBB3;S1PR2;ORAI3;AP1G1;TP53;TCF4;LTBP2;FBXL19-AS1;ZNF420;STC1;HCAR1;ZMIZ1;RPS10;IL5;ATXN10;CHCHD7;KCNMA1;NF1;CDK6;RAB11A;WWP2;SLC38A2;DLC1;AKTIP;IGFBP3;TEAD1;ZNF143;FBXL19;RALY;NUFIP2;GRB10;ETS1;PLEC;ENPP2;POU2F3;BBS4;NOG;DIDO1;MRC2;ADAMTSL3;ARHGEF12;HOXB6;WAC;PTCH1;KCNJ1;HSD3B7;WNT3;CALD1;TULP1;CABLES1;TBX4;BMP2;TBX3;BMP6;SERPINH1;MAFF;PDXDC2P;DDC;SIX6;FLVCR2;NT5C2;IL23A;WNT9B;ADCY4;HMGA2;CD79B;AP3D1;CDK2AP1;LRP5;PEX1;NFATC4;LYRM1;POLG2;PDE3B;MIR17HG;SMAD3;TRPC4AP;TBXAS1;NPEPPS;PPARA;NDRG2;GAL3ST3;IGF1;STX4;TWIST1;SCUBE3;RBM39;TRPS1;MYO9A;PCSK6;EBF2;NOB1;NOTUM;ADAMTS17;RARA;CCDC3;APOLD1;EGR2;IL11;FLI1;NUDT3;XBP1;TGFB3;PCSK5;CPNE1;NPR3;CCDC91;GNAS;SOCS2;KCNJ2;BLMH;NSRP1;OBFC1;CXCR5;ZNFX1;ID4;LOXL1;CAMK2G;ESR1;CREB5;PHF21A;ZNF282;RREB1;COL2A1;JAG1;PSIP1;SIPA1;TTLL6;NRN1L;SFRP4;SENP8;PPP4R4;SOX5;NFAT5;BNC2;RBM4;SEMA7A;GRK5;SMURF2;GMIP;TRA2A;PLAG1;TFAP4;DLGAP4;SEMA4D;LIF;INS;HNRNPH3;NMB;NINJ2;TBX2;SH2B3;ZNF521;KCNE2;SLC25A37;FAM46A;WWOX;GDPD5;SPRY2;RORA')
AACTTT_UNKNOWN	5.4684358994248546e-71	4.430675904874912e-68	(17776, 525, 1317, 177, 'SNX17;KNTC1;NUCB2;NAV3;TRIM8;PPM1A;OSBPL7;RILPL2;SERGEF;ELOVL4;SSH2;TP53;TCF4;STAU1;SMOC1;MC3R;FAM53B;STC1;PARD3;CREB3L2;CHCHD7;KCNMA1;LARP4;ZHX2;MOS;ANKS1A;PAX2;CDK6;PCGF5;WWP2;LZTS2;FOXO1;ACAN;ATXN3;TEAD1;EIF2S2;SALL1;C6orf106;SLC13A4;PDIA4;TCP11;ENPP2;NOG;SLC22A5;ETV6;ARMC4;ADAMTSL3;HOXB6;OR2S2;PTCH1;HSD3B7;WNT3;TMEM196;CALD1;CDH13;CIC;SERPINH1;C10orf11;TSPAN9;RSRC2;MAPK3;ABCB5;PPARD;PTEN;XPO7;CDK2AP1;SENP6;HES7;SPTBN2;NFATC4;UBN1;ARID3B;TLK2;ANK3;NPC2;SNTB2;NOTCH1;CBLN4;MIR17HG;XPO4;ZNF462;SMAD3;CDC14B;JAZF1;TBXAS1;KCTD9;SIX5;TLE1;IGF1;ERF;SYTL2;SCUBE3;EYA4;TRPS1;PRDM12;NFE2L1;PACSIN2;EBF2;MTCH2;DGKH;ZNF219;TRIB1;GCH1;IGF2BP1;CDCA2;EGR2;IL11;FLI1;RIMS1;SFXN2;KDM2A;TGFB3;PCSK5;DCAKD;GNAS;SOCS2;CBFA2T3;SLC39A13;KCNJ2;TAF11;SLC2A10;PDS5B;SMAD6;SUFU;IRF1;RILPL1;IGF1R;ESR1;CREB5;PHF21A;SLC39A11;RREB1;JAG1;KANK2;DLK1;NMT1;SDCCAG3;SOX5;NFAT5;BNC2;TLE3;FILIP1;FOXO3;PLAG1;ARL3;MMP24;TFAP4;DIABLO;DLGAP4;FAM13C;SREBF2;CTCF;HEMGN;EIF2B4;HOXB9;ACSS2;GIT1;TNFRSF21;CAMK1D;MYO18A;CMIP;LRP1;GSS;SSR1;DNMT3A;PTHLH;MRPS31;CUL1;ZNF521;KCNE2;FMNL1;AXIN2;PARP6;MAP3K3;XBP1;SPRY2;RORA')
CTTTGT_LEF1_Q2	3.7322036940589694e-69	2.6879406402667125e-66	(17776, 525, 1272, 172, 'CNOT4;SKAP1;SNX17;ITGB8;MPPED2;NAV3;PRRG2;FAM83H;PDE10A;ERBB3;S1PR2;SSH2;MAPT;GLIS3;TP53;KPNB1;H1FNT;PTPDC1;SMARCA4;C1QTNF4;STC1;ZMIZ1;SLC39A8;SLC38A1;ZHX2;PAX2;CDK6;RAB11A;WWP2;BRAF;DAPK1;CCND1;LZTS2;SLC38A2;IREB2;ACTR1A;TEAD1;NFATC3;TNRC6A;BCL7C;SCAND1;NUFIP2;KIF5A;RNF24;PLEC;ETV6;HOXB6;EZH2;GFOD2;WNT3;TMEM196;CALD1;ZNF668;ATP1B2;NOSIP;OMG;TP53INP2;DDC;ZCCHC24;PTPN1;CDON;HMGA2;TET2;F2;HMGA1;XPO7;NDUFA13;CRADD;PRTFDC1;LRP5;TMEM136;SMOX;TSSK6;IKZF4;LYRM1;TLK2;ANK3;NPC2;LLGL1;NOTCH1;CBLN4;LMF1;SAAL1;MIR17HG;CKB;SMAD3;TRPC4AP;TBXAS1;RPUSD4;SIX5;NPEPPS;ERC1;NDRG2;XRN2;PCNA;SCUBE3;EYA4;MAP3K14;NDST2;TRIB1;GCH1;IGF2BP1;RARA;TAF8;FKBP5;VAV2;ILF3;ARIH1;NUDT3;CELF1;CPNE1;NPR3;CCDC91;TRIM27;SMAD6;ASTN2;SUFU;AKAP7;MTA2;IGF1R;TTC28;CBFB;CREB5;PHF21A;CNTLN;ECM2;COL2A1;SIPA1;ZNF664;KCNJ15;C17orf82;SOX5;PTPRJ;BNC2;PCGF2;PACS1;USP3;TLE3;ZNF646;SEMA7A;GRK5;ABHD2;GMIP;FOXO3;TRA2A;TFAP4;DLGAP4;ZSCAN12;SIX1;BNIP3;SREBF2;SEMA4G;USP49;FAM13C;ATOH7;CS;THAP11;EIF2B4;CTCF;HOXB9;ZSCAN2;GIT1;TNFRSF21;HNRNPH3;CMIP;LRP1;GSS;SIX4;DNMT3A;UHRF1;CUL1;DDX42;ZNF521;ZBTB4;AXIN2;PARP6;HSD11B2;ALPK3;SPRY2;PKIA;POLR2A')
CAGCTG_AP4_Q5	1.0243955342737563e-68	6.639945599428986e-66	(17776, 525, 951, 150, 'SUPT16H;ITGB8;RAD51B;MPPED2;NAV3;TRIM8;EDC4;PRRG2;PPM1A;PDE10A;ERBB3;LRCH1;KCNJ16;TCF4;ZMIZ1;DMPK;CCDC26;KCNMA1;LARP4;TRIP11;MOS;PAX2;ACE;LZTS2;DLC1;DLEU1;IGFBP3;PAM;SALL1;ETS1;PLEC;KCNH2;MAP2K5;ATP6V0D1;RAPSN;LHX3;WNT7B;HSD3B7;ADAMTS8;GADD45G;CNNM2;CDH13;AGAP2;OGFOD2;ZNF668;ATP1B2;TBX3;BMP6;NOSIP;BCL7A;OMG;TP53INP2;TBX6;ZCCHC24;PTPN1;ADCY4;HMGA2;RAB26;CD79B;AP3D1;IMPG1;LRP5;NRBF2;SCN4A;TMEM86A;SLC8A3;DOC2A;NOTCH1;LMF1;SLC26A10;CCDC78;ELN;CCDC43;PDLIM4;PML;CASKIN1;BCL2L2;RPUSD4;SIX5;MYO1F;IGF1;ERF;SYTL2;SCUBE3;NDST2;RARA;APOLD1;EGR2;IL11;RNF166;RIMS1;KDM2A;DLEU2;TGFB3;CLIP1;KCNJ2;CBFA2T3;CDKN1B;ASS1;CXCR5;LOXL1;CAMK2G;STAT2;IGF1R;ESR1;COL2A1;PSIP1;JAG1;FAM65A;CCND2;CBFA2T2;C17orf82;PARP12;SOX5;USP3;BNC2;CLPS;ZNF646;SEMA7A;FILIP1;GRK5;EYA2;TFAP4;ASB2;ABCB9;BNIP3;USP49;TPPP3;BCAS3;GPD1;MYO18A;SLC44A2;LRP1;RAB5B;PDE3A;SPTY2D1;HDAC9;SH2B3;ZNF521;C9orf170;RHOD;LRRK1;INSR;NUTF2;PARP6;MAP3K3;JAKMIP3;XBP1;E2F1;CDK2')
