index	0	1	2
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	8.17328718077036e-23	9.001241172182397e-19	(17811, 35, 34, 11, 'APOB;ABCG5;LPA;APOA5;APOA1;LDLR;APOC3;APOE;ABCG8;LPL;APOC2')
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	4.63711687263908e-20	2.5534284059187095e-16	(17811, 35, 12, 8, 'APOB;APOA5;APOA1;LDLR;APOC2;APOC3;LPL;APOE')
REACTOME_LIPOPROTEIN_METABOLISM	1.1470769173254253e-19	4.2109193635016364e-16	(17811, 35, 23, 9, 'APOB;LPA;APOA5;APOA1;LDLR;APOC3;APOE;LPL;APOC2')
ROVERSI_GLIOMA_COPY_NUMBER_UP	3.842440188873771e-19	1.0579198450016709e-15	(17811, 35, 43, 10, 'BCAM;CBLC;APOC1;CEACAM19;CLPTM1;CLASRP;TOMM40;APOE;BCL3;APOC2')
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	1.7278687734366177e-15	3.805803760371494e-12	(17811, 35, 352, 14, 'AGPAT4;APOB;ABCG5;LPA;APOA5;APOA1;HMGCR;LDLR;COL4A3BP;APOC3;APOE;ABCG8;LPL;APOC2')
chr6q26	2.1776328143403895e-14	3.997045030721785e-11	(17811, 35, 5, 5, 'SLC22A2;LPA;PLG;SLC22A3;LPAL2;SLC22A1')
HSIAO_LIVER_SPECIFIC_GENES	3.454556661567247e-13	5.435004644834299e-10	(17811, 35, 158, 10, 'APOB;PLG;LPA;NAT2;APOA1;HP;APOC2;APOC3;APOC1;APOE')
chr19q13	6.806455836013062e-13	9.369937265251482e-10	(17811, 35, 169, 10, 'CBLC;BCL3;APOC1;CEACAM19;CEACAM16;CLPTM1;CLASRP;APOC1P1;TOMM40;APOE;TRAPPC6A;APOC2')
PUJANA_BRCA1_PCC_NETWORK	1.2011080276059077e-12	1.4697558564470958e-09	(17811, 35, 1022, 17, 'SMARCA4;OPRL1;PPM1G;PAFAH1B2;GPN1;RGS19;NAT1;ABO;CLASRP;HMGCR;USP1;MRPL33;TOMM40;ZNF101;HNF1A;MAP3K4;TRAPPC6A')
ACEVEDO_LIVER_CANCER_DN	1.9443436770918698e-12	2.1413056915812765e-09	(17811, 35, 357, 12, 'TRIB1;IGF2R;APOB;PLG;HAPLN4;NAT2;HMGCR;APOA1;LDLR;ANGPTL3;SLC22A1;TRAPPC6A')
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN	1.1013352925865021e-10	1.1026368706595588e-07	(17811, 35, 385, 11, 'TCF7L2;APOB;PLG;APOA4;COL4A3BP;APOA1;HMGCR;KANK2;PAFAH1B2;LPL;APOE')
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	4.28718629115198e-09	3.93456521870473e-06	(17811, 35, 126, 7, 'ABCA6;PLG;APOA5;NAT2;ANGPTL3;SLC22A1;ABCG8')
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	6.1200693897620205e-09	4.493354945963275e-06	(17811, 35, 12, 4, 'APOE;APOC2;APOA1;APOC3')
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	6.048450700264268e-09	4.493354945963275e-06	(17811, 35, 309, 9, 'SLC22A2;ABCA6;ABCG5;SLC18A1;GCKR;SLC22A3;APOA1;SLC22A1;ABCG8')
YOSHIMURA_MAPK8_TARGETS_UP	5.932671734360392e-09	4.493354945963275e-06	(17811, 35, 890, 13, 'IGF2R;APOB;PLG;GCKR;NAT1;NAT2;APOA1;HP;MAFB;MAS1;SLC22A1;LPL;APOE')
chr19p13	6.5914474121360445e-09	4.536975646865891e-06	(17811, 35, 134, 7, 'SMARCA4;HAPLN4;TM6SF2;SPC24;C19orf38;LDLR;KANK2;CILP2;GATAD2A;TMED1;SUGP1;ZNF101;YIPF2;MAU2')
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	8.827786886763606e-09	5.718848057878094e-06	(17811, 35, 13, 4, 'ABCG8;ABCA6;ABCG5;APOA1')
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	1.3699340163839004e-08	8.38171295690883e-06	(17811, 35, 234, 8, 'TRIB1;APOA4;CLPTM1;HMGCR;ANGPTL3;LDLR;HPR;TRAPPC6A')
SU_LIVER	1.9871591477038083e-08	1.1518201944032654e-05	(17811, 35, 43, 5, 'APOB;LPA;GCKR;DHODH;SLC22A1')
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	2.7781956168219608e-08	1.5298134164030127e-05	(17811, 35, 4, 3, 'SLC22A2;SLC22A3;SLC22A1')
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	2.4756561477159943e-07	0.00012983048168950593	(17811, 35, 28, 4, 'ABCG8;ABCA6;ABCG5;APOA1')
GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP	2.9780503879901803e-07	0.00014259682140406894	(17811, 35, 141, 6, 'TCF7L2;SIK3;PAFAH1B2;ANGPTL3;MAU2;MAP3K4')
chr6q25	2.867761817569794e-07	0.00014259682140406894	(17811, 35, 29, 4, 'IGF2R;AGPAT4;LOC729603;PNLDC1;MAP3K4')
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	3.3725217625439934e-07	0.0001547565923787375	(17811, 35, 144, 6, 'SMARCA4;TCF7L2;KANK2;GATAD2A;LPL;APOE')
GUO_TARGETS_OF_IRS1_AND_IRS2	3.640980803816416e-07	0.00016039248636972073	(17811, 35, 76, 5, 'ABCG5;HMGCR;PCSK9;ABCG8;BCL3')
LEE_LIVER_CANCER	3.788597481567158e-07	0.00016047624640191965	(17811, 35, 31, 4, 'SLC22A1;SLC22A3;LPA;PLG')
ZWANG_TRANSIENTLY_UP_BY_1ST_EGF_PULSE_ONLY	5.311182388533077e-07	0.0002166372283144992	(17811, 35, 1080, 12, 'BCAM;CELSR2;PLG;SPC24;CEACAM19;ZNF512;APOC2;MAFB;PSRC1;PSD3;APOC1;APOE')
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	5.795001238095413e-07	0.0002279298165540885	(17811, 35, 9, 3, 'SLC22A2;SLC22A3;SLC22A1')
GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP	6.269451674325711e-07	0.0002380878320322381	(17811, 35, 35, 4, 'TCF7L2;APOC1;BCL3;APOE')
BRIDEAU_IMPRINTED_GENES	7.886049619291824e-07	0.00028949688152420284	(17811, 35, 37, 4, 'SLC22A2;IGF2R;SLC22A3;APOC2')
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	1.201001216124187e-06	0.00041333207478673977	(17811, 35, 287, 7, 'TCF7L2;SIK3;NAT1;COL4A3BP;MAFB;APOC1;APOE')
PUJANA_ATM_PCC_NETWORK	1.1703706414952417e-06	0.00041333207478673977	(17811, 35, 947, 11, 'OPRL1;GPN1;RGS19;NAT1;ABO;CLASRP;USP1;MRPL33;TOMM40;ZNF101;HNF1A')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	1.2567034975295564e-06	0.00041939623085736376	(17811, 35, 1171, 12, 'TCF7L2;TRIB1;RGS19;COL4A3BP;LDLR;KANK2;USP1;TOMM40;DHODH;PAFAH1B2;MAP3K4;BCL3')
HALLMARK_COAGULATION	1.29760081199665e-06	0.00042030816889762076	(17811, 35, 98, 5, 'PLG;APOA1;APOC3;APOC1;APOC2')
VANDESLUIS_COMMD1_TARGETS_GROUP_4_UP	1.5116111827545884e-06	0.0004756392558764652	(17811, 35, 12, 3, 'APOE;APOA1;APOC2')
CAIRO_HEPATOBLASTOMA_DN	1.9322959800688586e-06	0.0005911215452360651	(17811, 35, 194, 6, 'TRIB1;LPA;NAT2;HP;DHODH;SLC22A1')
FEVR_CTNNB1_TARGETS_UP	2.1609149953551904e-06	0.0006431934282120734	(17811, 35, 454, 8, 'TM6SF2;AGPAT4;ABCG5;SLC22A3;APOA1;PCSK9;HP;APOC3')
LEE_LIVER_CANCER_SURVIVAL_UP	3.5305058591836152e-06	0.001023196342820767	(17811, 35, 120, 5, 'ABCA6;ABCG5;APOA5;APOC3;ABCG8')
GSE19888_ADENOSINE_A3R_ACT_VS_A3R_ACT_WITH_A3R_INH_PRETREATMENT_IN_MAST_CELL_UP	3.6775066653092855e-06	0.001038471305257722	(17811, 35, 121, 5, 'SPC24;PBX4;ZNF512;USP1;DHODH')
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	4.040124696101562e-06	0.0010852169092235733	(17811, 35, 494, 8, 'TCF7L2;TRIB1;RGS19;LDLR;TOMM40;DHODH;MAP3K4;BCL3')
GSE43955_10H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP	3.985922336560274e-06	0.0010852169092235733	(17811, 35, 123, 5, 'SMARCA4;GPN1;LDLR;USP1;HP')
GSE32423_IL7_VS_IL4_MEMORY_CD8_TCELL_DN	4.31430256854132e-06	0.0011312717663653704	(17811, 35, 125, 5, 'PCSK9;LDLR;PSRC1;SARS;DHODH')
GSE6681_DELETED_FOXP3_VS_WT_TREG_UP	4.663563843646741e-06	0.001194414618839106	(17811, 35, 127, 5, 'CBLC;SYPL2;KANK2;SLC22A1;ABCG8')
PKCA_DN.V1_DN	5.228673400724042e-06	0.0012898296246974794	(17811, 35, 130, 5, 'TRIB1;ABO;KANK2;APOC1;LPL')
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP	5.2703471453179495e-06	0.0012898296246974794	(17811, 35, 59, 4, 'SLC22A3;SIK3;PLG;LPA')
GSE20715_WT_VS_TLR4_KO_LUNG_DN	6.288617659972487e-06	0.001505577093245152	(17811, 35, 135, 5, 'CELSR2;EIF2B4;HP;SARS;BCL3')
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_UP	8.047717897518915e-06	0.0017725903441075165	(17811, 35, 142, 5, 'BCAM;SMARCA4;APOC3;PSD3;APOE')
HALLMARK_XENOBIOTIC_METABOLISM	7.775277366034628e-06	0.0017725903441075165	(17811, 35, 141, 5, 'PLG;GCKR;ANGPTL3;SLC22A1;APOE')
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	8.047717897518915e-06	0.0017725903441075165	(17811, 35, 142, 5, 'TCF7L2;TRIB1;CBLC;AGPAT4;PSD3')
GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_DN	8.047717897518915e-06	0.0017725903441075165	(17811, 35, 142, 5, 'AGPAT4;RGS19;SLC22A3;ANGPTL3;DHODH')
GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_BALBC_DN	8.327579139182765e-06	0.0017982672364670548	(17811, 35, 143, 5, 'PPM1G;TRIB1;IGF2R;TCF7L2;KANK2')
CADWELL_ATG16L1_TARGETS_UP	8.77745481435128e-06	0.00185896365135482	(17811, 35, 67, 4, 'APOA4;APOA1;HP;LPL;APOC2')
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP	9.115215275307166e-06	0.0018940729401312798	(17811, 35, 254, 6, 'SLC18A1;HP;APOC3;APOE;APOC1;APOC2')
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	9.313064298365918e-06	0.0018993477244056269	(17811, 35, 68, 4, 'SLC22A2;SLC22A3;SLC18A1;SLC22A1')
GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	1.0506674773460188e-05	0.002030000162809071	(17811, 35, 150, 5, 'TCF7L2;IGF2R;MAFB;TMED1;BCL3')
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_DN	1.017075008011621e-05	0.002030000162809071	(17811, 35, 149, 5, 'ABCA6;PLG;RGS19;APOC1;APOC2')
GSE339_CD8POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	1.0506674773460188e-05	0.002030000162809071	(17811, 35, 150, 5, 'GPN1;APOA5;HMGCR;USP1;MAS1')
CAIRO_LIVER_DEVELOPMENT_DN	1.0851216462961903e-05	0.0020604214983896453	(17811, 35, 151, 5, 'APOB;PLG;ANGPTL3;HP;APOE')
GSE3039_CD4_TCELL_VS_B2_BCELL_UP	1.2318715891819083e-05	0.0022994240358746366	(17811, 35, 155, 5, 'TRIB1;HP;MAFB;ATG4C;APOE')
GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP	1.2708729031498165e-05	0.0023326872137314886	(17811, 35, 156, 5, 'GPN1;NAT2;ZNF512;HNF1A;APOE')
SP1_01	1.3936936264102629e-05	0.0025161881815829877	(17811, 35, 159, 5, 'CLPTM1;GMIP;ZNF512;KANK2;BCL3')
MARTINEZ_RB1_AND_TP53_TARGETS_UP	1.6098944724768647e-05	0.0028142488611726524	(17811, 35, 426, 7, 'SLC22A2;TRIB1;TM6SF2;APOA4;DNM2;LPL;APOC2')
MARTINEZ_TP53_TARGETS_UP	1.6098944724768647e-05	0.0028142488611726524	(17811, 35, 426, 7, 'SLC22A2;TRIB1;TM6SF2;APOA4;DNM2;LPL;APOC2')
BOCHKIS_FOXA2_TARGETS	1.752891708291488e-05	0.003016343184908462	(17811, 35, 285, 6, 'PLG;DHX38;APOA5;LDLR;APOC1;APOE')
RUTELLA_RESPONSE_TO_HGF_UP	1.823553514160205e-05	0.0030896607463763593	(17811, 35, 287, 6, 'NAT1;COL4A3BP;LDLR;PSD3;APOC1;APOE')
chr2p21	1.969530608957807e-05	0.0032864303934018674	(17811, 35, 27, 3, 'MRPL33;ABCG8;ABCG5')
chr8p22	2.2029041564246926e-05	0.003620982608164946	(17811, 35, 28, 3, 'TRIB1;NAT2;LPL')
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	2.428787076059696e-05	0.003916441760668621	(17811, 35, 632, 8, 'TRIB1;IGF2R;TRAPPC6A;MAFB;TOMM40;SARS;BCL3;LPL')
PID_AMB2_NEUTROPHILS_PATHWAY	2.4537771859269485e-05	0.003916441760668621	(17811, 35, 29, 3, 'APOB;PLG;LPA')
SF1_Q6	2.6032278243385923e-05	0.004095621147062988	(17811, 35, 181, 5, 'SIK3;SPC24;CLPTM1;TOMM40;BCL3')
GGGCGGR_SP1_Q6	2.7444789019933706e-05	0.004197909187174027	(17811, 35, 1579, 12, 'TCF7L2;TRIB1;DHX38;ZNF512;EIF2B4;USP1;KANK2;MAFB;TOMM40;SUGP1;DNM2;APOE')
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	2.74422224763553e-05	0.004197909187174027	(17811, 35, 183, 5, 'SLC22A2;SLC18A1;GCKR;SLC22A3;SLC22A1')
KEGG_ABC_TRANSPORTERS	3.3173633037261854e-05	0.005004674255333764	(17811, 35, 32, 3, 'ABCG8;ABCA6;ABCG5')
KRAS.AMP.LUNG_UP.V1_UP	3.50625499802687e-05	0.00521816030990134	(17811, 35, 95, 4, 'HPR;ABCG5;GCKR;LPL')
DELYS_THYROID_CANCER_UP	3.605294835379441e-05	0.005259084932182841	(17811, 35, 324, 6, 'APOE;HP;PSD3;APOC1;LPL;APOC2')
IK2_01	3.62926046350582e-05	0.005259084932182841	(17811, 35, 194, 5, 'AGPAT4;ABCG5;CLASRP;COL4A3BP;BCL3')
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	3.7195299403437995e-05	0.00531989392636445	(17811, 35, 195, 5, 'TRIB1;PLG;GCKR;NAT2;SLC22A1')
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	4.062517549202462e-05	0.005735962278123938	(17811, 35, 331, 6, 'TRIB1;ABCA6;MAFB;APOC1;LPL;APOE')
GSE15624_3H_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_DN	6.008913586119852e-05	0.008376729787840244	(17811, 35, 109, 4, 'PPM1G;DHX38;IGF2R;MAP3K4')
TBK1.DN.48HRS_UP	6.537156906599212e-05	0.008888112223750261	(17811, 35, 40, 3, 'PSRC1;MAP3K4;APOE')
DAUER_STAT3_TARGETS_UP	6.537156906599212e-05	0.008888112223750261	(17811, 35, 40, 3, 'TRIB1;BCL3;LDLR')
GSE45365_NK_CELL_VS_CD8_TCELL_DN	6.680400390758176e-05	0.008972103597978023	(17811, 35, 112, 4, 'TRIB1;IGF2R;SPC24;DHX38')
VILLANUEVA_LIVER_CANCER_KRT19_DN	7.043757042117801e-05	0.009234868607719446	(17811, 35, 41, 3, 'TM6SF2;APOA5;ABCA6')
chr1p32	7.043757042117801e-05	0.009234868607719446	(17811, 35, 41, 3, 'USP24;BSND;DOCK7')
chr11q23	7.575377446804215e-05	0.009589382968006302	(17811, 35, 42, 3, 'SIK3;APOA4;APOA5;APOA1;BUD13;APOC3;PAFAH1B2')
BRUINS_UVC_RESPONSE_LATE	7.512065892338645e-05	0.009589382968006302	(17811, 35, 741, 8, 'SIK3;DOCK7;PBX4;LDLR;GATAD2A;MRPL33;PSD3;ABCG8')
