index	0	1	2
AACTTT_UNKNOWN	2.1677959007618867e-08	0.00023873936255090658	(17776, 124, 1317, 29, 'NXPH1;NEFM;F2RL1;NELL1;C11orf87;CTNNA3;DLG2;RREB1;GRIN3A;RBFOX1;CACNB2;CYLD;CA10;SLC6A1;LUC7L3;ACAN;DSCAML1;SALL3;NDST4;NRG1;RXFP1;PLXNA2;TSPAN2;KANK4;SPRY2;ADAMTS6;ZMAT4;AXIN2;BCL11A')
GCANCTGNY_MYOD_Q6	1.8700944356578299e-07	0.001029767500994984	(17776, 124, 600, 18, 'DLG2;NAPEPLD;NDST4;NRG1;NDUFA4;RGS12;RBFOX1;KRTCAP2;CACNB2;CYLD;C11orf87;NGF;LUC7L3;ALPK2;THBS3;AXIN2;DDIT4;CCL20')
RTAAACA_FREAC2_01	7.518257642760002e-07	0.0027599523806571967	(17776, 124, 660, 18, 'GPM6A;RREB1;ISG20;SALL3;NDST4;NRG1;DNAJB12;GRIK2;RBFOX1;CACNB2;ZMAT4;PLXNA2;LUC7L3;DOCK5;BCL11A;AXIN2;DPP10;DDIT4')
TTGTTT_FOXO4_01	1.6171996499209574e-06	0.004452554936144876	(17776, 124, 1344, 26, 'SPON1;NEFM;CTNNA3;GSTCD;THBS3;DLG2;RREB1;RBFOX1;SLC6A1;LUC7L3;GPM6A;SALL3;NDST4;NRG1;GRIK2;RXFP1;PLXNA2;PALLD;TSPAN2;GRK7;DDIT4;SGCZ;ZMAT4;NAALADL2;AXIN2;FSTL5')
TAATTA_CHX10_01	3.0239390580452286e-06	0.006646404784665245	(17776, 124, 583, 16, 'CELF2;NXPH1;SALL3;DSCAML1;NDST4;RREB1;RGS12;RBFOX1;CHRNA2;NAALADL2;CYLD;PLXNA2;SP8;ALPK2;LUC7L3;DPP10')
WGTTNNNNNAAA_UNKNOWN	3.6210322989186845e-06	0.006646404784665245	(17776, 124, 392, 13, 'DLG2;DNAJB12;RREB1;NRG1;NEFM;CTNNA3;RXFP1;CA10;ADAMTS6;HBS1L;SP8;LUC7L3;RIN2')
chr8p21	9.34787449740989e-06	0.01236795739262657	(17776, 124, 41, 5, 'NRG1;CHRNA2;NEFM;SLC25A37;LOXL2;DOCK5;ENTPD4')
BROWNE_HCMV_INFECTION_1HR_DN	9.34223519054303e-06	0.01236795739262657	(17776, 124, 148, 8, 'ERI3;CACNB2;NGF;F2RL1;PPIH;XYLT1;WSCD1;DDIT4')
TCTATGA_MIR376A_MIR376B	1.0107292884194963e-05	0.01236795739262657	(17776, 124, 71, 6, 'DSCAML1;GRIN3A;GRIK2;KPNA4;MACROD2;SLC6A1')
TGFB_UP.V1_UP	1.6499436817272182e-05	0.016518936151692594	(17776, 124, 160, 8, 'RGS12;FLT4;RAPGEF2;NGF;F2RL1;CYTH1;FOXD1;IL1RL1')
CAGGTG_E12_Q6	1.6436110005261092e-05	0.016518936151692594	(17776, 124, 1528, 26, 'NXPH1;F2RL1;THBS3;DLG2;NPPC;RREB1;CACNB2;CYLD;CA10;XYLT1;CCL20;PAPOLG;DSCAML1;NRG1;DIS3L2;PLXNA2;PALLD;TSPAN2;DOCK5;NPNT;WWOX;SPRY2;KIF16B;KRTCAP2;PLEKHB1;NGF;NCSTN;AXIN2;BCL11A')
chr2q12	2.9967535962862236e-05	0.027502706129916815	(17776, 124, 26, 4, 'SLC9A4;IL1RL1;DPP10;SULT1C2P1')
