index	0	1	2
GGGAGGRR_MAZ_Q6	7.784413293182129e-13	8.572974359781478e-09	(17776, 78, 1333, 28, 'IGF1R;IGF2BP3;PRKCE;HMGA1;FGFR1;HMGA2;SH2B3;ZBTB26;ZFPM2;CNNM2;PRTFDC1;ASCL2;ATAD5;ZBTB7B;PMVK;LRRC4;YBX2;ADAM17;IGF2;TEAD3;TRIB1;GABARAP;ESR1;SESN1;CRB2;EPAS1;NUDT3;JAG1')
GGGCGGR_SP1_Q6	4.528660517321643e-11	2.493706913863163e-07	(17776, 78, 1579, 28, 'IGF1R;ARMC2;TET2;IGF2BP3;PRKCE;HMGA1;PTCH1;FGFR1;GNA12;INA;TRA2A;ZFPM2;CLDN7;ALDH2;MAFB;TAF5;PHF23;ATAD5;PMVK;PCDH10;ADRB1;DVL2;ADAM17;ITPR2;IGF2;HHEX;TEAD3;TRIB1;GABARAP;RABGAP1;SESN1;FKBP5;JAG1')
YOSHIMURA_MAPK8_TARGETS_UP	1.4365052618106324e-10	3.164046489664099e-07	(17776, 78, 890, 21, 'IGF1R;HMGA1;FANCC;HMGA2;SH2B3;SLC2A4;KCNN3;PLEKHA1;INA;YKT6;CLDN7;MAFB;ACVR1C;IDE;ADRB1;IGF1;IGF2;PTPN11;IGFBP3;CPA3;H19')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	9.200817903135116e-11	3.164046489664099e-07	(17776, 78, 1171, 24, 'IGF1R;CDKAL1;ELOVL5;PTCH1;FANCC;FGFR1;HMGA2;CEP57L1;GNA12;EXOC6;POLM;PLCE1;KIF11;TBL2;AMZ1;IDE;ZBTB7B;ARHGAP21;IGF1;ADAM17;ATXN2;PTPN11;SND1;TRIB1;BCL7B;SESN1')
CAGGTG_E12_Q6	1.2435884379291433e-10	3.164046489664099e-07	(17776, 78, 1528, 27, 'IGF1R;GCK;CTDNEP1;HMGA1;DLK1;GNA12;KCNN3;EXOC6;CNNM2;CLDN7;SLIT2;SEC22A;HHIP;JAG1;IDE;ATAD5;ZBTB7B;YBX2;ADRB1;ITPR2;IGF2;TRIB1;GABARAP;ESR1;FKBP5;EPAS1;ANK1')
BENPORATH_EED_TARGETS	1.9563519776476207e-09	3.0779006185476065e-06	(17776, 78, 731, 18, 'HHIP;ASCL2;INA;EPAS1;IGF2;TET2;HHEX;CNNM2;PRKCE;STK17A;IGFBP3;DLK1;PCDH10;LCORL;SLIT2;ADRB1;MAFB;ACVR1C')
CACGTG_MYC_Q2	1.6959362853843748e-09	3.0779006185476065e-06	(17776, 78, 635, 17, 'DVL2;IGF1R;HHIP;YBX2;GYG1;TET2;HHEX;IGF2BP3;ELOVL5;NAA25;PRKCE;TRIB1;GABARAP;HMGA1;PTCH1;RABGAP1;FKBP5')
SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	7.08352771171132e-09	9.751361336134596e-06	(17776, 78, 369, 13, 'IGF1R;LLPH;ADAM17;CPSF3;TET2;PTPN11;ELOVL5;SND1;CLDN7;PABPC4L;FAM109A;RC3H2;NUDT3')
MARTINEZ_TP53_TARGETS_UP	3.875880052645337e-08	4.268506701978309e-05	(17776, 78, 426, 13, 'GPSM1;IGF2;YKT6;HMGA2;IDE;PRKCE;TRIB1;DLK1;RABGAP1;CPA3;GNA12;KIF11;SLC2A4')
MARTINEZ_RB1_AND_TP53_TARGETS_UP	3.875880052645337e-08	4.268506701978309e-05	(17776, 78, 426, 13, 'GPSM1;IGF2;YKT6;HMGA2;IDE;PRKCE;TRIB1;RABGAP1;CPA3;GNA12;KIF11;SLC2A4;EPAS1')
WOO_LIVER_CANCER_RECURRENCE_UP	1.0524020037667099e-07	0.00010536457515893432	(17776, 78, 87, 7, 'PLCE1;HKDC1;HMGA1;IGFBP3;FGFR1;SLIT2;JAG1')
MCBRYAN_PUBERTAL_BREAST_4_5WK_DN	1.2761241113993342e-07	0.0001171162903236739	(17776, 78, 134, 8, 'ACADVL;ACVR1C;YKT6;PRKCE;SH2B3;MLXIPL;SLC2A4;EPAS1;JAG1')
TTGTTT_FOXO4_01	2.0580343501491037e-07	0.0001633262504433167	(17776, 78, 1344, 21, 'IGF1R;NT5C2;PTCH1;NMBR;HMGA2;GPR21;ZFPM2;CLDN7;HHIP;ASCL2;TAF5;PHF23;IGF1;HECW1;HHEX;TRIB1;GABARAP;RABGAP1;FKBP5;NUDT3;JAG1')
GGGTGGRR_PAX4_03	2.1300046984644997e-07	0.0001633262504433167	(17776, 78, 778, 16, 'SESN1;MYL2;IGF2;CALHM2;HHEX;PHF23;ZFPM2;TEAD3;PRKCE;GABARAP;HMGA1;PTCH1;FGFR1;NHLRC2;YBX2;SLC2A4;IGF1;KCNN3')
GSE21927_C26GM_VS_4T1_TUMOR_MONOCYTE_BALBC_DN	2.224547132161764e-07	0.0001633262504433167	(17776, 78, 144, 8, 'PLEKHA1;C11orf21;CCNL1;GABARAP;STK17A;PTCH1;WSB1;IGFBP3')
BENPORATH_ES_WITH_H3K27ME3	2.850683352941019e-07	0.0001962160985371215	(17776, 78, 795, 16, 'HHIP;ASCL2;INA;LEKR1;MAFB;TET2;HHEX;CNNM2;PRKCE;ESR1;IGFBP3;DLK1;MLXIPL;SLIT2;ADRB1;EPAS1')
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	3.3857369077629234e-07	0.00021127291191645671	(17776, 78, 428, 12, 'IGF1R;LRP12;ADAM17;PDCD11;ELOVL5;TBL2;TRIB1;PIM3;NHLRC2;PTCH1;FGFR1;HMGA2')
RYTTCCTG_ETS2_B	3.4531121533607745e-07	0.00021127291191645671	(17776, 78, 704, 15, 'PLEKHA1;TAF5;ITPR2;NT5C2;STRBP;HHEX;PTPN11;CTDNEP1;TEAD3;TRIB1;SND1;ZBTB7B;HMGA1;SH2B3;IGF1')
YAMAZAKI_TCEB3_TARGETS_DN	4.984626146268795e-07	0.0002744784387442912	(17776, 78, 160, 8, 'IGF1R;STRBP;IGF2;CLDN7;HMGA1;PTCH1;ALDH2;KIF11')
chr10q24	4.848033000686106e-07	0.0002744784387442912	(17776, 78, 36, 5, 'INA;TAF5;NT5C2;PDCD11;CALHM1;PCGF6;KIF11;ADRB1')
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	5.642953675387738e-07	0.0002959326134621198	(17776, 78, 632, 14, 'PLEKHA1;MAFB;TRA2A;ITPR2;PTPDC1;PDCD11;BRAP;TRIB1;PMVK;ZBTB6;WSB1;ADRB1;SH2B3;TRAFD1;JAG1')
CAGCTG_AP4_Q5	6.046589448093957e-07	0.0003026867708720852	(17776, 78, 951, 17, 'IGF1R;INA;KCNN3;HHEX;GPR21;PHF23;EXOC6;CNNM2;NHLRC2;ESR1;IGFBP3;HMGA2;ANK1;YBX2;SH2B3;IGF1;JAG1')
AACTTT_UNKNOWN	6.79700368485561e-07	0.0003254582677448471	(17776, 78, 1317, 20, 'IGF1R;SESN1;ADAM17;ELOVL5;ZFPM2;TRIB1;GABARAP;ZBTB7B;ARHGAP21;ESR1;PTCH1;RABGAP1;DLK1;PCDH10;FGFR1;SLC2A4;MAFB;IGF1;ACVR1C;JAG1')
chr7p13	7.82360134611481e-07	0.0003590055067698433	(17776, 78, 17, 4, 'POLM;HECW1;TMED4;YKT6;UBE2D4;IGFBP3')
BLALOCK_ALZHEIMERS_DISEASE_UP	8.188156547720412e-07	0.0003607046722401796	(17776, 78, 1088, 18, 'IGF1R;AEBP1;TAF5;PLCE1;UBE2D4;GCLC;BRAP;PTCH1;RABGAP1;PDCL;ITGB1BP1;GNA12;FGFR1;SEC22A;MAFB;RC3H2;NCAPG;KCNN3')
MARTINEZ_RB1_TARGETS_UP	9.121726621312359e-07	0.00038637528954043465	(17776, 78, 470, 12, 'HHIP;GPSM1;STRBP;IGF2;YKT6;GCLC;IDE;CCNL1;RABGAP1;HMGA2;GNA12;KIF11;SLC2A4')
PEREZ_TP63_TARGETS	2.0264215496630874e-06	0.0007695510526358475	(17776, 78, 260, 9, 'IGF1R;TAF5;IGFBP3;KLHL29;SLIT2;MAFB;DLG4;ACVR1C;JAG1')
GSE339_CD4POS_VS_CD4CD8DN_DC_UP	2.0052770479974613e-06	0.0007695510526358475	(17776, 78, 134, 7, 'ASCL2;MAFB;ESR1;FAM109A;TRAFD1;NUDT3;SESN1')
GATTGGY_NFY_Q6_01	1.8928319603738437e-06	0.0007695510526358475	(17776, 78, 700, 14, 'ASCL2;C6orf1;ZBTB26;ITPR2;ELOVL5;CNNM2;TRIB1;HMGA1;PTCH1;CALHM1;HMGA2;FKBP5;PCDH10;ADRB1')
chr10q23	2.1133543719718574e-06	0.0007758123899508689	(17776, 78, 48, 5, 'PLCE1;HHEX;CNNM2;IDE;EXOC6')
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP	2.5114680536320387e-06	0.0008922192798274077	(17776, 78, 518, 12, 'PLEKHA1;C11orf21;TRA2A;ITPR2;PTPDC1;BRAP;SH2B3;ZBTB6;WSB1;ARHGEF40;ADRB1;MAFB;JAG1')
ESC_J1_UP_LATE.V1_UP	3.2408450675104386e-06	0.0010815583857118928	(17776, 78, 144, 7, 'GYG1;IGF2;CLDN7;HKDC1;DLK1;HMGA2;H19')
GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_UP	3.2408450675104386e-06	0.0010815583857118928	(17776, 78, 144, 7, 'COMMD7;PLCE1;CTDNEP1;MRPS24;BCL7B;MAFB;NUDT3')
