index	0	1	2
AACTTT_UNKNOWN	5.680325922337417e-20	6.255742938270198e-16	(17776, 322, 1317, 76, 'CHST8;NLK;MCHR1;SRGAP1;SLIT3;ETV1;NR3C1;NCOA5;ARHGAP44;SNX27;CDH11;CTNNA3;RELN;ABHD4;BTF3P11;GYPC;PRKCI;CACNA2D3;MYT1;MYBPC1;NELL2;MKL1;PTGS2;BTBD3;FAM81A;PTPRK;ARAP2;NCAM2;SATB1;DYNC1I1;SDCCAG3;SLITRK6;PRPF38B;CSNK2A2;ZFPM2;CAMK1D;NRSN1;SKIL;SMARCA2;PTEN;EYA1;NRXN1;ADCY8;PPP1R12A;ATOH1;ZFP36L2;CDH13;TTC17;PARD3;ARL4A;CNTNAP5;SH3GL2;ADAMTS5;EIF5A2;BNC2;PCDH10;RPS6KA5;PROK2;TCERG1L;SSBP2;GPC6;ZBTB20;CREM;PDZRN4;MSI2;COL19A1;CSMD3;FOXN3;FUT9;LRRTM4;ADAMTSL1;BTLA;MSTN;NPHP4;TBK1;RORA;RUNX1')
TTGTTT_FOXO4_01	6.939064379466636e-12	3.820995800553303e-08	(17776, 322, 1344, 62, 'HNF4G;CHST8;SLIT3;TAPT1;PDE3B;ETV1;NR3C1;CDH11;PTPRM;ANXA1;CTNNA3;PCIF1;MANEA;NMBR;PRKCI;CACNA2D3;SLITRK6;SATB1;NEDD4;MARCH1;PRPF38B;TWIST2;ZFPM2;ETS1;ZDHHC14;NRSN1;CLMP;ANO3;SMARCA2;MSC;STAT6;EYA1;RP1;ATOH1;HS6ST3;TTC17;EXOC4;CDH6;SDK2;ARL4A;FOXP1;DDX6;PAWR;SLC4A4;BNC2;CCPG1;SSBP2;ZBTB20;CREM;HECW1;PDZRN4;MSI2;FOXN3;LRRTM4;SDK1;SLTM;KLF7;ELOVL6;BTBD3;RORA;FSTL5;RUNX1')
TGACAGNY_MEIS1_01	7.77260288825053e-09	2.4077203127268915e-05	(17776, 322, 583, 33, 'CNTLN;NLK;SLIT3;ETV1;ANXA1;GIPR;MYT1;NAV2;MYBPC1;NEDD4;DYNC1I1;SPOCK2;NRSN1;SMARCA2;EYA1;NRXN1;ADCY8;MAP2;SDK2;DDX6;BNC2;PCDH10;PROK2;SPRED1;LRGUK;PDZRN4;MSI2;ADCY10;LRRTM4;DNAJC1;RORA;CRISPLD1;RUNX1')
CAGGTG_E12_Q6	8.745011578051e-09	2.4077203127268915e-05	(17776, 322, 1528, 60, 'CHST8;NLK;CNTLN;SRGAP1;RP1L1;YWHAZ;ETV1;NR3C1;NCOA5;ARHGAP44;ABHD4;GAP43;FKBP11;CACNA2D3;NAV2;MKL1;BTBD11;CORO2B;FAM81A;PTPRK;ARAP2;NCAM2;PC;PRPF38B;SPOCK2;CAMK1D;SKIL;SMARCA2;GALR1;MSC;KIF13A;NRXN1;EYA1;ADCY8;XYLT1;RTKN2;HS6ST3;CDH13;L3MBTL2;TTC17;OSBPL10;ARL4A;TNS4;SH3GL2;BNC2;SLC12A5;SPRED1;SSBP2;PARD3B;CRLS1;COL19A1;ITPR2;FUT9;SDK1;CNTN5;ANK2;NPHP4;BTBD3;RUNX1;CDH2')
GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	1.2672875990409683e-08	2.791327665647637e-05	(17776, 322, 363, 25, 'CHST8;YWHAZ;LIMCH1;NR3C1;NAV2;SDC3;FAM81A;DOCK10;SDC2;SMARCA2;FOXK1;SNX9;EYA1;TBX15;XRN1;LRIG3;PRUNE2;SORCS1;NAV1;ITPKB;SPATS2L;MSI2;PPM1H;SDK1;ANK2;RUNX1')
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	1.7464310066781646e-08	3.205574112757771e-05	(17776, 322, 763, 38, 'CHST8;CNTLN;YWHAZ;LIMCH1;RASA3;NR3C1;NAV2;INPP4B;COMMD10;SDC3;FAM81A;SNRNP40;DOCK10;SDC2;RGMB;SMARCA2;FOXK1;SNX9;EYA1;PARD3;TBX15;CDH13;XRN1;SDK2;FOXP1;LRIG3;KIAA1217;PRUNE2;UCHL1;SORCS1;NAV1;ITPKB;SPATS2L;MSI2;PPM1H;SDK1;ANK2;RUNX1')
CAGCTG_AP4_Q5	3.12868647661169e-08	4.922317738132077e-05	(17776, 322, 951, 43, 'KSR2;YWHAZ;TAPT1;NPHP4;ETV1;ARHGAP44;ABHD4;BTF3P11;GAP43;MYT1;CACNA2D3;MYBPC1;BTBD11;CORO2B;SLITRK6;NEDD4;MARCH1;SPOCK2;PRICKLE2;ETS1;SMARCA2;EYA1;ADCY8;UFM1;CDH13;CDH6;OSBPL10;FOXP1;DNAJC1;NAV1;BNC2;PROK2;SPRED1;RUNX1;ZBTB20;CREM;CSMD3;SMARCA5;ANK2;ALPK2;MSTN;BTBD3;CNTNAP5')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	3.594853775220788e-08	4.9487655783133176e-05	(17776, 322, 1171, 49, 'CNTLN;EEA1;SRGAP1;YWHAZ;CD200;LIMCH1;NR3C1;LMBRD1;ISOC1;FKBP11;PDK1;SDC3;MKL1;SMAD4;PTPRK;CUL2;NEDD4;IARS;C12orf66;PRPF38B;SNRNP40;USP47;ATG10;ETS1;OXA1L;SMARCA2;SNX9;STAT6;MAP2;PARD3;EXOC4;LMBR1;FOXP1;ADAMTS5;DDX6;KIAA1217;EFR3A;SLC4A4;LIMS1;ERCC4;RUNX1;SPRED1;GSR;ZBTB20;KIAA1109;KLF7;ELOVL6;BTBD3;IPO8')
CDC5_01	5.1558910704710014e-08	6.309092039899681e-05	(17776, 322, 186, 17, 'ZBTB20;NLK;CDH6;PDZRN4;SAMSN1;FOXP1;INPP4B;ARHGAP44;ZFPM2;ITPKB;UCHL1;SMARCA2;EYA1;PROK2;RORA;ATOH1;BTBD3')
OCT1_B	6.034700534802314e-08	6.646015698977788e-05	(17776, 322, 188, 17, 'SLITRK6;NEDD4;LIPG;ETV1;FOXP1;CSMD3;LRRTM4;DNAH5;COL23A1;MYBPC1;KCTD12;SKIL;KIF13A;NRXN1;PTEN;FSTL5;CDH13')
TITF1_Q3	1.490422217891486e-07	0.0001492183625967176	(17776, 322, 177, 16, 'CDH6;NCAM2;SATB1;ETV1;FOXP1;PRPF38B;ADAMTS5;CSMD3;ZDHHC14;PCIF1;SMARCA2;BNC2;CACNA2D3;EYA1;MSTN;ITPKB')
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	1.6395326377933094e-07	0.00015046810783348098	(17776, 322, 35, 8, 'CDH8;CDH6;CDH13;CDH11;CDH18;PRKCI;PARD3;CDH2')
NFKB_Q6	1.8794728825150605e-07	0.00015922026811644892	(17776, 322, 180, 16, 'NLK;SLC16A4;PDZRN4;SATB1;PDE3B;SAMSN1;ARHGAP44;CD40;ADAMTS5;BNC2;ELOVL6;MSC;STAT6;PCDH10;PTGS2;RUNX1')
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	3.1118890110992784e-07	0.0002141952104952272	(17776, 322, 370, 23, 'CDH11;NR3C1;PTPRM;ANXA1;PTGS2;CORO2B;MIR100HG;SLC16A7;COL6A3;APCDD1L;TWIST2;DOCK10;ETS1;CLMP;ADAMTS5;EIF5A2;KCTD12;CENPV;NAV1;BNC2;SPATS2L;STK17A;ALPK2')
POU6F1_01	2.7369819262527446e-07	0.0002141952104952272	(17776, 322, 185, 16, 'ZBTB20;CNTLN;PDZRN4;LIPG;ETV1;FOXP1;FOXN3;ZFPM2;PRICKLE2;SKIL;COMMD10;MYT1;CACNA2D3;EYA1;BNC2;RORA')
REACTOME_CELL_JUNCTION_ORGANIZATION	2.939744045667167e-07	0.0002141952104952272	(17776, 322, 51, 9, 'CDH8;CDH6;CDH11;CDH18;LIMS1;PRKCI;CDH2;PARD3;CDH13')
OCT1_04	7.262709747713093e-07	0.00044766927798663977	(17776, 322, 175, 15, 'ZBTB20;PDZRN4;ETV1;FOXP1;NCOA5;ZFPM2;SMARCA2;BNC2;NPHP4;EYA1;COMMD10;PTEN;ATOH1;RUNX1;CDH13')
GGGAGGRR_MAZ_Q6	7.316850089675397e-07	0.00044766927798663977	(17776, 322, 1333, 50, 'HNF4G;CHST8;NLK;SLIT3;YWHAZ;ETV1;ARHGAP44;CCR7;PCIF1;GYPC;PRKCI;NAV2;MYT1;CUL2;NCAM2;SATB1;ELOVL6;ZFPM2;ZDHHC14;CDC42EP4;VPS13C;SMARCA2;STAT6;KIF13A;EYA1;ENKUR;PPP1R12A;HS6ST3;CDH6;OSBPL10;CNTNAP5;PIGL;ADAMTS5;DDX6;DCDC2;SORCS1;BNC2;SLC12A5;CD109;RPS6KA5;SSBP2;KDM4A;CREM;SLC16A4;MSI2;PI15;ADCY10;NPHP4;RORA;FSTL5;GAP43;CDH2')
NKX62_Q2	9.686950901484246e-07	0.0005080113822764096	(17776, 322, 179, 15, 'ZBTB20;SLIT3;PDZRN4;LRRTM4;ZFPM2;EPB41L3;ETS1;SMARCA2;MYT1;CACNA2D3;EYA1;BNC2;MSTN;ATOH1;BTBD3')
OCT_Q6	9.686950901484246e-07	0.0005080113822764096	(17776, 322, 179, 15, 'MSI2;SLITRK6;LIPG;ETV1;FOXP1;PRICKLE2;DNAH5;COL23A1;MYBPC1;EYA1;NRXN1;TCERG1L;PTEN;FSTL5;KIF13A')
TGACATY_UNKNOWN	9.438293143246948e-07	0.0005080113822764096	(17776, 322, 486, 26, 'MCHR1;RASA3;NR3C1;MARCH10;MYT1;INPP4B;ARAP2;SLITRK6;COL6A3;SPOCK2;CDC42EP4;EYA1;MAP2;TTC17;PCBP1;LIMS1;SLC35G3;CRLS1;PDZRN4;CREM;CSMD3;FOXN3;MSTN;DNAJC1;FSTL5;RUNX1')
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	1.0572134426502107e-06	0.0005170318985201794	(17776, 322, 20, 6, 'CDH8;CDH6;CDH13;CDH11;CDH18;CDH2')
GSE11057_NAIVE_VS_MEMORY_CD4_TCELL_UP	1.0797905807649258e-06	0.0005170318985201794	(17776, 322, 135, 13, 'PTPRK;EEA1;SERTM1;MPP7;SATB1;SCAI;PIGL;PDE3B;KCTD3;STK17A;CENPV;SNX9;PDK1;BTBD3')
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	1.2618297400776935e-06	0.0005790221219781516	(17776, 322, 726, 33, 'LIMCH1;NR3C1;PTPRM;PRKCI;CCDC93;MKL1;SMAD4;SLC16A7;ARAP2;PTPRK;NEDD4;CUL2;YAP1;SMARCA2;PPP1R12A;PARD3;ZFP36L2;PAWR;EFR3A;TNKS;ORC5;SSBP2;ZBTB20;KIAA1109;FOXN3;NUP153;SMAD7;ARID5B;SMARCA5;KLF7;SNX13;PTEN;RUNX1;CDH2')
TTANTCA_UNKNOWN	1.5002702309398515e-06	0.0006608990421336234	(17776, 322, 663, 31, 'RP1L1;PTPRM;DNAH5;GAP43;COMMD10;MICALL2;PTGS2;PTPRK;ARAP2;SLITRK6;NEDD4;PRPF38B;ZFPM2;ETS1;SKIL;SMARCA2;EYA1;ADCY8;UFM1;PPP1R12A;MAP2;CNTNAP5;FOXP1;BNC2;FAM98B;CREM;ADAMTSL1;MSTN;DNAJC1;RUNX1;RTKN2')
GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP	1.5715946622423688e-06	0.0006656912313567387	(17776, 322, 118, 12, 'ZXDC;THUMPD2;ITPR2;PPM1H;FOXP1;INPP4B;SMAD7;CCR7;PDK1;SSBP2;CCNA1;BTBD11')
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP	1.7700594504442513e-06	0.000721987582508983	(17776, 322, 141, 13, 'CORO2B;PDCD6IP;SATB1;ADCY10;CD200;ZFPM2;EPB41L3;EIF5A2;KLF7;MSTN;EYA1;SSBP2;SORL1')
TAGCTTT_MIR9	1.922313329614891e-06	0.0007296652659569046	(17776, 322, 189, 15, 'LRP12;NLK;YWHAZ;SLITRK6;PI15;NR3C1;ZFPM2;KIAA1217;LMBRD1;SORCS1;SMARCA2;ELOVL6;PDK1;GK5;CRISPLD1')
GATA1_05	2.0437059317478124e-06	0.0007296652659569046	(17776, 322, 215, 16, 'ZBTB20;CNTLN;CRLS1;PDZRN4;CACNA2D3;PI15;NEDD4;PDE3B;ETV1;NR3C1;ZFPM2;USP47;CTNNA3;CD40;ALPK2;CDH2')
KRAS.KIDNEY_UP.V1_UP	2.0539020470956184e-06	0.0007296652659569046	(17776, 322, 121, 12, 'SATB1;DYNC1I1;ETV1;LIMCH1;DDX6;EPB41L3;RELN;ANK2;SLC12A5;NRXN1;SORL1;GAP43')
GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP	1.917120545397573e-06	0.0007296652659569046	(17776, 322, 142, 13, 'CORO2B;EXOC4;TAPT1;UROC1;COL6A3;IARS;TWIST2;CDH22;ANO3;SGSM3;SMARCA5;MARCH10;ORC5')
STK33_NOMO_DN	2.836700994670614e-06	0.0008925882301230706	(17776, 322, 195, 15, 'HNF4G;SDK2;SLC16A4;NEDD4;MAGI2;CCR7;CAMK1D;TNKS;BTBD11;PLCH1;BTLA;VPS13C;PROK2;TPD52L1;PAWR')
S8_01	2.836700994670614e-06	0.0008925882301230706	(17776, 322, 195, 15, 'ZBTB20;CNTLN;PDZRN4;PDE3B;ETV1;FOXP1;KCNK2;PRPF38B;ZFPM2;ANK2;MYT1;COMMD10;NRXN1;BTBD3;GAP43')
