index	0	1	2
AACTTT_UNKNOWN	3.8891106702552115e-14	4.2830775811520646e-10	(17776, 256, 1317, 57, 'MGLL;SYT6;NR3C1;NOVA1;CNTNAP2;SOX5;NELL1;CPNE4;HS3ST4;RBMS1;CACNA1D;TREM1;MYT1;NELL2;MEIS2;EBF2;STXBP6;DLG2;PKHD1;MBNL1;RYR3;ARAP2;PPP2R2A;FAM19A2;TMEM229B;RBFOX1;ATL3;CYLD;SGCD;MAPK10;CLSTN2;ARID1B;CA3;MAFB;SALL1;PPP2R3A;SCN8A;GFRA1;RNF19B;TLK1;CDH9;SH3GL2;IMPDH1;SOX6;TLE4;ARF6;GJA1;BCHE;HMP19;TCF12;EDIL3;FUT9;DIAPH1;KIAA1456;PDPN;CDR2L;ZNF462')
CTTTGA_LEF1_Q2	1.1447907335656007e-12	6.30379017437898e-09	(17776, 256, 796, 41, 'CNTLN;TMEM117;SOX5;CPNE4;CCR7;MANEA;RNF2;JDP2;ABR;FGF20;EBF2;MEIS2;DLG2;SLC22A23;MBNL1;SGCD;MAPK10;CLSTN2;DAB2IP;FSIP2;GLI2;MAPRE1;SALL1;GFRA1;CPB1;CSNK1G3;RNF19B;PDE11A;HADH;KHDRBS2;CDH9;SOX6;TLE4;GABRB2;TBX3;TCF12;SNX18;PCDH1;RPA2;PDPN;ZNF462')
TATAAA_TATA_01	1.9690691557118043e-11	7.228452870618034e-08	(17776, 256, 833, 40, 'CNTLN;TMEM117;LGSN;FAM46A;SOX5;HS3ST4;RBMS1;ABR;MEIS2;EBF2;DLG2;SLC16A7;ARAP2;NEDD4;PPP2R2A;NEK10;ATL3;CYLD;SLCO2A1;FYN;MAPRE1;SCN8A;GFRA1;CPB1;RNF19B;TLK1;TFAP2B;TANK;TLE4;ARF6;PRL;MYOCD;GABRB2;AGTR1;BRMS1L;TBX3;TCF12;SNX5;SEMA3C;EFEMP1')
CAGTGTT_MIR141_MIR200A	2.9069621808689727e-11	8.0035936244775e-08	(17776, 256, 260, 22, 'TNKS2;SOX5;TMEM135;RBMS1;MBNL1;SLC16A7;PPP2R2A;TNS3;C3orf67;SLMO2;PHYHIPL;PTP4A1;GRB2;CEP120;CSNK1G3;KHDRBS2;BICD2;NAMPT;NRP1;ATXN7;TCF12;MED13L')
TTGTTT_FOXO4_01	4.4169887095737803e-10	8.107382776422674e-07	(17776, 256, 1344, 50, 'TNKS2;MGLL;LGSN;SYT6;NR3C1;NOVA1;SOX5;APBA2;RBMS1;MANEA;STXBP6;MEIS2;FGF20;DLG2;EBF2;NEDD4;CACNA2D1;NEK10;TMEM229B;SLMAP;RBFOX1;MAPK10;CLSTN2;ARID1B;PDGFD;HSD17B11;PSKH1;PPP2R3A;TFEC;GFRA1;CEP120;CSNK1G3;GRIK2;TLK1;NFE2L3;SOX6;FAR1;DENND1B;TFAP2B;MYOCD;NRP1;NPTX1;TBX3;HMP19;AP4M1;SNX18;KIAA1456;KCNQ5;SCML4;EFEMP1')
TGATTTRY_GFI1_01	3.8030235786524364e-10	8.107382776422674e-07	(17776, 256, 217, 19, 'NPPB;TMEM117;PPP2R2A;TCF12;TLK1;NOVA1;CRB1;NMNAT3;SOX5;MAPK10;SLCO2A1;FGF20;HS3ST4;SEMA3C;CLSTN2;MSR1;FYN;SALL1;MEIS2')
CAGGTG_E12_Q6	4.154160838087124e-09	6.5356819014076425e-06	(17776, 256, 1528, 52, 'TNKS2;CNTLN;WNT16;SYT6;NR3C1;PNKP;HS3ST4;RBMS1;CACNA1D;ABR;MEIS2;DLG2;ARAP2;RYR3;PPP2R2A;FAM19A2;TMEM229B;CYLD;MAPK10;SLCO2A1;UBASH3B;GLI2;SLIT2;FYN;FLNB;DUSP5;ZNF462;GRB2;GFRA1;OSBPL10;CPB1;KHDRBS2;PDE11A;TNS4;SH3GL2;DENND1B;PCDH15;TLE4;ZNF133;ARF6;CALY;MYOCD;SSTR1;NPTX1;HMP19;AP4M1;FUT9;KIAA1456;PCDH1;SIK2;ARHGAP18;EFEMP1')
CAGCTG_AP4_Q5	1.1349355086564473e-08	1.4319510338440513e-05	(17776, 256, 951, 38, 'KSR2;MGLL;LGSN;SYT6;NOVA1;SOX5;RGR;APBA2;SPECC1;HS3ST4;MYT1;ABR;STXBP6;MEIS2;DLG2;MBNL1;NEDD4;RBFOX1;MYO18B;CLSTN2;CA3;PPP2R3A;SALL1;REEP1;OSBPL10;OBSCN;ESRRB;RNF19B;IMPDH1;TLE4;ZNF133;TBX3;HMP19;TCF12;CRB1;KCNQ5;SLC8A3;DLEU2')
CAGGTA_AREB6_01	1.3002370233760568e-08	1.4319510338440513e-05	(17776, 256, 528, 27, 'TNKS2;MGLL;LGSN;SOX5;CACNA1D;NELL2;FGF20;PKHD1;DLG2;MBNL1;ARAP2;PPP2R2A;NEK10;ATL3;CYLD;FSIP2;PTP4A1;REEP1;SPDEF;CEP120;FHIT;RNF19B;KHDRBS2;TCF12;DIAPH1;SLC8A3;EFEMP1')
CDC5_01	1.2384953389899416e-08	1.4319510338440513e-05	(17776, 256, 186, 16, 'GFRA1;DLG2;CSNK1G3;MGLL;MBNL1;SALL1;SEC63;NOVA1;GLI3;SLCO2A1;RBMS1;RPA2;NRP1;FYN;DGKB;NPTX1')
HFH1_01	5.453716931945181e-08	5.460162233773844e-05	(17776, 256, 180, 15, 'DLG2;CSNK1G3;GRIK2;HMP19;TLK1;TMEM229B;NEDD4;RBFOX1;MAPK10;KCNQ5;CACNA1D;NRP1;PPP2R3A;EFEMP1;BRMS1L')
TGACATY_UNKNOWN	1.6623943588612283e-07	0.00015256624228448924	(17776, 256, 486, 24, 'LGSN;NR3C1;CACNA1D;MYT1;ABR;MEIS2;EBF2;DLG2;MBNL1;ARAP2;RBFOX1;CYLD;MAPK10;HNRNPA3;FYN;SCN8A;XPNPEP3;ARF6;MYOCD;AGTR1;BCHE;RPA2;CDR2L;EFEMP1')
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	2.0535082330149642e-07	0.00017396373977072156	(17776, 256, 975, 36, 'URB2;OR10J5;SOX5;FZD1;RBMS1;PNPLA1;FGF20;EBF2;KCNG1;SAMD9;FAM129A;CACNA2D1;RNU5F-1;SLCO2A1;ZNF831;FSIP2;PHYHIPL;PPP2R3A;PDGFD;ISX;APCS;MCF2L;GRIK2;PDE11A;TNS4;UBASH3A;BSPRY;SIGLEC5;GABRB2;DPP10;AGTR1;BCHE;SNX18;RHOU;MSR1;FREM3')
RIGGI_EWING_SARCOMA_PROGENITOR_UP	2.2296572875533827e-07	0.00017539439791303861	(17776, 256, 321, 19, 'DLG2;ADAMTS3;ODF2L;TBX3;GRIK2;PLA1A;TCF12;CYTL1;CLCA2;RGS18;SOX6;KIAA1456;CLSTN2;TNFSF15;SLIT2;NELL2;MAFB;REEP1;DUSP5')
NKX3A_01	2.71273363708138e-07	0.00019916890363451493	(17776, 256, 176, 14, 'DLG2;CEP120;MBNL1;ARAP2;NEDD4;TCF12;TLK1;CDH9;DENND1B;SOX5;MYT1;SALL1;SPDEF;EFEMP1')
TGTTTGY_HNF3_Q6	3.112701837311679e-07	0.00021425115833945948	(17776, 256, 503, 24, 'MGLL;LGSN;CNTNAP2;MACROD2;SOX5;MEIS2;FGF20;EBF2;DLG2;PPP2R2A;RBFOX1;MAPK10;SLCO2A1;ARID1B;CA3;PPP2R3A;TFEC;GRIK2;NFE2L3;UBASH3A;TLE4;SEMA3C;ZNF462;SUN5')
RTAAACA_FREAC2_01	3.452534418132968e-07	0.00022366330321704926	(17776, 256, 660, 28, 'MGLL;SYT6;NR3C1;SOX5;MYT1;FGF20;MBNL1;NEDD4;RBFOX1;MAPK10;DAB2IP;FYN;HSD17B11;PPP2R3A;HSF2;GFRA1;CSNK1G3;GRIK2;GJA1;CD109;DPP10;HMP19;AP4M1;TCF12;CRB1;KIAA1456;KCNQ5;EFEMP1')
TTANTCA_UNKNOWN	3.782684551638716e-07	0.0002314372498177621	(17776, 256, 663, 28, 'SOX5;CPNE4;HS3ST4;CA8;MEIS2;EBF2;DLG2;ARAP2;NEDD4;RBFOX1;CYLD;FSIP2;SLMO2;SALL1;TFEC;GFRA1;CPB1;ESRRB;CDH9;CCDC18;ARF6;PRL;SSTR1;BRMS1L;HMP19;KIAA1456;SLC8A3;EFEMP1')
GGGCGGR_SP1_Q6	5.600702470737064e-07	0.0003246344016327752	(17776, 256, 1579, 48, 'SYT6;HTR1A;MACROD2;SOX5;CPNE4;TMEM135;RBMS1;RNF2;CACNA1D;NELL2;ABR;MEIS2;FAM129A;PPP2R2A;RBFOX1;ATL3;CYLD;CLSTN2;MAFB;SALL1;DUSP5;REEP1;GRB2;GFRA1;MAPRE1;OSBPL10;FHIT;OBSCN;CIT;HADH;RNF19B;SEC63;IMPDH1;XXYLT1;TLE4;BATF;NIPAL1;BRMS1L;TBX3;AP4M1;TCF12;DIAPH1;SIK2;SLC31A1;KCNQ5;TMED5;DLEU2;DCP1A')
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	6.432140342357157e-07	0.00035418580795189687	(17776, 256, 562, 25, 'DGKB;CA1;NBPF22P;SLC16A7;PPP2R2A;FUNDC2P2;TMEM229B;RGS18;ARAP3;SLMAP;NMNAT3;RBFOX1;CLSTN2;GLI2;FYN;IQCA1;OBSCN;TNS4;GRIK2;FHOD3;TMEM132D;FTMT;FYB;HDGFL1;ZNF462')
