index	0	1	2
CAGGTG_E12_Q6	5.502261666406263e-08	0.0006059640773213218	(17776, 152, 1528, 35, 'NRXN3;OTOS;SASH1;NOS1;KCNQ3;ZFP36L1;SDC1;ZFHX3;VPS13A;RGS7;TOM1L1;SLC27A6;CRIM1;SNX16;TTC13;NSMCE2;NCKAP5;ARPP21;DCLK2;SMOC2;STK3;GFRA1;UNC5B;PDE11A;FA2H;FBXO15;PALLD;PTPN23;WNT9A;FOXI1;SDK1;COL1A2;CDH7;GJC2;KIF13B')
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	2.496387578894914e-07	0.0013746358203184845	(17776, 152, 726, 22, 'SASH1;ZFHX3;TRAM2;VPS13A;RGS7;NVL;CCDC93;CRIM1;DOCK1;GNAQ;STK3;CBLB;SP3;NRIP1;FAT1;SETD2;ZZEF1;EFNA5;CDC42BPA;COL1A2;PVRL3;UBL3')
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	5.793213191887232e-07	0.002126688562741803	(17776, 152, 763, 22, 'METTL13;PARP1;SASH1;NOS1;NELL1;ZFP36L1;SDC1;TRAM2;HSPG2;FAR2;SUDS3;DNM3;CDCA7;FOXK1;SP3;ADAMTS1;FAT1;LAPTM4A;SNX19;ZZEF1;JAKMIP2;EFNA5;SDK1')
ACEVEDO_LIVER_CANCER_UP	1.0188019431873053e-06	0.002805016450080448	(17776, 152, 604, 19, 'CBLB;TXNL1;METTL13;PARP1;CCDC91;TMEM38B;PEX2;NSMCE2;FAT1;ZFP36L1;FAM84B;TRAM2;ZNF83;PALLD;TOM1L1;TMED10;COL1A2;CYYR1;VOPP1')
chr1q42	1.9151946984567743e-06	0.0035153398690174094	(17776, 152, 44, 6, 'SNAP47;PRSS38;WNT9A;TRIM11;CDC42BPA;FH;TTC13;ZNF678;RHOU')
REACTOME_HS_GAG_BIOSYNTHESIS	1.597569023444415e-06	0.0035153398690174094	(17776, 152, 24, 5, 'HS3ST3B1;GPC5;SDC1;GPC1;HSPG2')
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	5.197943253910655e-06	0.008177849865045436	(17776, 152, 493, 16, 'SNAP47;METTL13;PARP1;CCDC91;SASH1;TMEM38B;PEX2;NSMCE2;FAT1;DOCK1;FAM84B;TOM1L1;ELOVL6;CYYR1;VOPP1;TMED10')
REACTOME_HS_GAG_DEGRADATION	8.641154401053887e-06	0.011605898554053692	(17776, 152, 16, 4, 'GPC1;GPC5;SDC1;HSPG2')
GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP	9.4845261950861e-06	0.011605898554053692	(17776, 152, 121, 8, 'PDZRN4;GRIK2;USP25;TLL1;RAD51B;GALNT5;FAM19A5;FAM185A')
chr18q22	1.4336118773939597e-05	0.013156973004783065	(17776, 152, 18, 4, 'LOC284294;FBXO15;CDH20;MC4R;CDH7')
