index	0	1	2
AACTTT_UNKNOWN	1.532810120291071e-20	1.6880837854765565e-16	(17776, 373, 1317, 84, 'NXPH1;MITF;CTNNB1;PCDH7;CDH11;SRSF6;APBA1;C10orf11;RARB;C11orf87;LRP1B;C15orf41;ETV1;TEAD1;PEX5L;IL16;RBMS3;RAPGEF5;ANKS1A;ADRB2;STC1;EPHA7;DLG2;PTPRK;CSNK1A1L;ST3GAL1;ALK;ZNF804B;HTR2A;RHOB;ADAMTSL3;SGCD;ZFPM2;NRSN1;C3orf58;ARID1B;CDCA7;MAP2K6;ISL1;CA3;EYA1;NRXN1;SRC;ARL5B;NAV3;MLLT3;HNRNPR;CUX1;EHBP1;CDH13;ZNF521;AZIN1;IMPA2;NRG1;CDH9;PDGFB;SPRY1;FAM13C;CXXC4;RIMS1;FCHSD2;GRIK3;KLF4;ELAVL2;CHN2;TSPAN9;GPC6;ST6GALNAC3;PELO;SEMA6D;SLC24A3;GRID2;PCDH18;H3F3A;CSMD3;CNTN4;STEAP4;BLCAP;PDE4D;ESR1;CNTNAP5;SLC24A2;ADAM23;PCM1')
TTGTTT_FOXO4_01	2.053371187050843e-19	1.1306888441495467e-15	(17776, 373, 1344, 83, 'HNF4G;MITF;SCN3A;CTNNB1;PKN2;LGSN;PCDH7;GNAO1;CDH11;RARB;APBA1;ETV1;CTTNBP2NL;PTPRM;FGL1;TEAD1;PITX1;DYRK2;PEX5L;TPI1P2;ANKS1A;STC1;EPHA7;DLG2;PRMT6;NEDD4;CSNK1A1L;FIGN;PCDH18;NUFIP2;RHOB;ZFPM2;NRSN1;ASB7;C3orf58;CCNG2;ARID1B;MAP2K6;ISL1;ZNF143;EYA1;SATB2;PDGFD;NAV3;NTF3;MLLT3;EHBP1;AZIN1;PDGFB;ZNF521;ARHGAP20;NRG1;MAML2;CXXC4;FCHSD2;GRIK3;S1PR1;ELAVL2;CHN2;TSPAN9;NRP1;SEMA6D;PELO;CSNK1G1;SLC10A7;POU6F2;GRID2;H3F3A;ROBO1;SEMA5B;HHEX;SDK1;SHOC2;ADAM28;PDE4D;BLCAP;RUNX2;WASF1;SLC24A2;SGCZ;SLC22A2;RBMXL2;NDRG1')
TGGAAA_NFAT_Q4_01	1.3215545895191883e-16	4.85142689812494e-13	(17776, 373, 1233, 74, 'HNF4G;MITF;SCN3A;GNAO1;LGSN;NEDD4L;RARB;SRSF6;APBA1;CSPG4;CTTNBP2NL;FARS2;LRP1B;C15orf41;SYT10;FGL1;SCN2A;TEAD1;IL16;IL23R;IQGAP3;PLXNA4;RBMS3;RIN2;STC1;DLG2;NEDD4;STARD10;NUFIP2;RHOB;ADAMTSL3;SGCD;CSAD;ARID1B;ZNF143;RBKS;EYA1;SATB2;SRC;NAV3;NTF3;MLLT3;EHBP1;IMPA2;RAB7A;PDGFB;KHDRBS2;ST8SIA4;KLF11;TNFSF11;ZNF521;MAML2;SPRY1;ARHGAP20;NRG1;SBF2;TRIB2;SEMA6D;ST6GALNAC3;ZZEF1;H3F3A;CCNI;LMO2;GADL1;PDE4D;BRE;ESR1;ARHGAP18;STXBP1;BLCAP;WASF1;VEGFC;PLOD2;ETV1')
CTTTGT_LEF1_Q2	2.4302519112922674e-13	6.691091074765435e-10	(17776, 373, 1272, 69, 'NXPH1;MITF;SCN3A;CTNNB1;PKN2;PCDH7;AKAP12;NEDD4L;CDH11;RARB;ETV1;CTTNBP2NL;C15orf41;KIF24;TEAD1;FZD1;SS18;ADAMTS19;RBMS3;RIN2;ADRB2;STC1;EXOC6;PTPRT;NEDD4;PCDH18;NUFIP2;RHOB;ZFPM2;C3orf58;CCNG2;MTUS1;MAP2K6;EYA1;RBKS;FAM96A;ARL4C;MAP2;NAV3;ARL5B;HNRNPR;ZNF521;NRG1;CAPRIN1;FAM13C;CXXC4;FCHSD2;TRIB2;GRIK3;CTNNA2;ELAVL2;CHN2;SOAT2;GPC6;SEMA6D;ZZEF1;NRCAM;SLC10A7;GRID2;SLC38A1;ROBO1;SEMA5B;CSMD3;CNTN4;PDE4D;BRE;AFAP1;PLOD2;WASF1')
GGGAGGRR_MAZ_Q6	7.476628421326672e-13	1.6468021760814127e-09	(17776, 373, 1333, 70, 'ETNK1;HNF4G;NXPH1;MITF;OLIG2;PCDH7;GNAO1;AKAP12;RARB;SRSF6;ETV1;PEX5L;SLC13A3;IL16;TPI1P2;EPHA7;STC1;DLG2;PRMT6;FIGN;ST3GAL1;NUFIP2;RHOB;ZFPM2;CSAD;TRRAP;ASB7;C3orf58;CCNG2;MTUS1;YEATS2;CLIC5;MAP2K6;KLF10;ZNF143;ARL4C;EYA1;BEND4;SRC;EHBP1;PPP3CA;HNRNPR;AZIN1;RAB7A;NRF1;ZNF521;SP3;SIN3A;NRG1;MAML2;RIMS1;FOXE1;FCHSD2;SBF2;TRIB2;S1PR1;ELAVL2;NRP1;JAKMIP2;GRID2;SLC38A1;SH3TC2;CNTN4;RAB31;PTPRR;ESR1;CASP8AP2;WASF1;PDGFB;CNTNAP5')
PILON_KLF1_TARGETS_DN	2.7478754060456773e-12	5.043725307796841e-09	(17776, 373, 1278, 67, 'AKAP12;PLA2G4A;PFAS;SRSF6;ERLIN1;CSF3R;DYRK2;SS18;PAPSS2;PDK1;IQGAP3;ANKS1A;SPCS3;PUM2;RFX7;BIRC3;MAD2L1;RRP1B;MFSD1;ASB7;ARSB;SYK;MTUS1;ARID1B;KLF10;CDCA7;FOXK1;FAM168A;ZNF143;FAM96A;SEPT11;IMPA2;PPP3CA;TACC1;HNRNPR;PDCD6IP;HIPK3;SP3;ST8SIA4;CAPRIN1;PNPLA8;RER1;FCHSD2;TRIB2;PTPN9;AKNA;ATP11A;FIGNL1;QDPR;DOCK5;ZZEF1;ARID2;SLC10A7;ANKRD44;E2F7;SLC38A1;HHEX;CD300LB;LMO2;MRPS23;RAB31;GPD2;RAP1GAP2;PIF1;CSF2RB;KRR1;IPO8')
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	7.499740240218861e-12	1.1799234180790046e-08	(17776, 373, 837, 51, 'RBPMS2;OLIG2;ONECUT1;CSPG4;SLC13A3;ISL2;ADAMTS19;PLXNA4;ADRB2;PTPRK;FIGN;SP5;ATP8B1;MTUS1;CDCA7;UTRN;CLIC5;ISL1;EYA1;SATB2;PDGFD;SLC16A9;NTF3;CDH13;TACR3;FRMD4B;GRIK3;KLF4;S1PR1;ADRA2A;DOCK5;DPP10;E2F7;SFMBT2;TGFBR2;EPHA3;SHISA6;PROS1;HHEX;SCARA3;SEMA5B;RAB3B;IKZF1;SLCO4C1;RAP1GAP2;PLOD2;PIF1;NOV;NRG3;GLIS1;NDRG1')
CAGGTG_E12_Q6	5.564737678403247e-11	7.66055700653187e-08	(17776, 373, 1528, 72, 'NXPH1;PKN2;AKAP12;PCDH7;GNAO1;NEDD4L;ETV1;APBA1;PITX1;TOM1L1;ADAMTS19;RAPGEF5;ANKS1A;ADRB2;EXOC6;STC1;DLG2;PTPRK;HMGCLL1;PPP1R14C;NUFIP2;HSPB8;MTUS1;KLF10;SLC25A35;EYA1;ALG10;NRXN1;ARL4C;RBKS;KCNK1;ARL5B;NTF3;MLLT3;TACC1;CDH13;AZIN1;KHDRBS2;SYT8;CAPRIN1;SIN3A;ZNF521;NRF1;SEPT11;NRG1;FCHSD2;SBF2;TRIB2;GRIK3;KLF4;NOV;S1PR1;CDYL2;DOCK5;SLC24A3;NRCAM;TRAK1;GRID2;CELA3B;CNTN4;SDK1;LMO2;BRE;SLCO4C1;ESR1;RAP1GAP2;ARHGAP18;STXBP1;SLC24A2;PDGFB;PLOD2;PCM1')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	3.2194551874817563e-10	3.939539997748509e-07	(17776, 373, 1171, 59, 'CDKAL1;CTNNB1;GNAO1;AKAP12;NEDD4L;SRSF6;SKI;FARS2;ERLIN1;TOM1L1;PDK1;IQGAP3;SPCS3;EXOC6;STC1;PTPRK;PUM2;TGFBR3;NEDD4;RRP1B;ST3GAL1;GRB14;HSPB8;ASB7;CDCA7;UTRN;DYM;KCNK1;MAP2;PPP3CA;MLLT3;HNRNPR;NRF1;IPO8;SP3;ZNF521;CAPRIN1;SIN3A;SPRY1;SBF2;TRIB2;FRMD4B;HEATR1;RHBDD1;ATP11A;DDX10;FIGNL1;SLC6A2;DOCK5;BAZ2B;SEMA6D;TRAK1;CCNI;STEAP4;BRE;RUNX2;SCAF11;PCM1;RFWD2')
GGGCGGR_SP1_Q6	6.188556941343487e-10	6.195870690455984e-07	(17776, 373, 1579, 71, 'ETNK1;MITF;PKN2;AKAP12;OLIG2;RARB;ETV1;DNM2;CSPG4;CTTNBP2NL;MACROD2;ONECUT1;CDK5R2;ANKS1A;IPO7;EPHA7;C1orf87;ALK;ZNF804B;NUFIP2;ADAMTSL3;ZFPM2;CSAD;TRRAP;ASB7;C3orf58;CCNG2;KLF10;YEATS2;CLIC5;CDCA7;ZNF143;FAM96A;ALG10;RBKS;EHBP1;MLLT3;HNRNPR;AZIN1;NRF1;FHIT;SP3;ST8SIA4;SIN3A;KLF11;MAML2;PNPLA8;GLMN;RIMS1;SBF2;TRIB2;KLF4;DDX10;ELAVL2;GPC6;ZZEF1;SLC38A1;PROS1;HHEX;NUP153;SDK1;CCNI;ARFGAP3;RAB31;BRE;CASP8AP2;STXBP1;WASF1;PDGFB;ADAM23;PCM1')
