index	0	1	2
AACTTT_UNKNOWN	3.237984524682455e-16	3.5659923570327873e-12	(17776, 303, 1317, 67, 'NXPH1;STK39;PCDH7;FGFR2;TBX5;MAP3K4;ARHGAP44;CNTNAP2;MIPOL1;C15orf54;HS3ST4;ANGEL1;DAB1;PHACTR3;SLITRK1;ATXN1;EBF2;ADAMTS2;RREB1;SLC2A13;GRIN3A;SSBP3;BBS12;CALD1;KCNJ2;GC;SGCD;RALYL;SYNPR;ST8SIA2;SALL1;SLCO3A1;TMEFF2;PLCB1;ZNF521;FGF14;IL18R1;DPF3;BPTF;RIMS1;TMTC2;STK32B;TLE4;JARID2;MAF;KIT;SLC24A3;ROR1;TCERG1L;IGF1;TFAP2D;CREB5;EFNA5;SPRY2;LRRTM4;FOXN3;LSAMP;CADM1;FAM49A;SLC6A15;MMP13;CDCA2;NPAS2;KIRREL3;THBS1;ERG;PRKAR2B')
TTGTTT_FOXO4_01	3.8645042678317184e-14	2.1279892750815358e-10	(17776, 303, 1344, 64, 'FAM107B;PCDH7;TRIM63;XRCC4;TBX5;CNTNAP4;NMBR;HTR1B;PMCH;DAB1;AQP11;SLITRK1;ATXN1;RSF1;EBF2;RFTN1;RREB1;TMEM154;PRMT6;SSBP3;SST;CACNA2D1;GABRG2;ETS1;PCSK2;ANO3;RALYL;PLCB1;IL5RA;ZNF521;ARHGAP20;GRIK2;PREPL;FGF14;MAML2;IL18R1;BPTF;GABARAPL2;TFAP2B;RALGPS2;EFNA1;JARID2;MAF;ID4;NRP1;DDIT4;IGF1;PKIA;PRKD1;SLC38A4;NPFFR2;CREB5;TFAP2D;LRRTM4;FOXN3;LRFN5;FRMD4A;KCNK10;KCNQ5;PDGFRA;CADM1;KAT7;NPAS2;ERG')
TGGAAA_NFAT_Q4_01	3.8345128082303357e-13	1.4076496519013564e-09	(17776, 303, 1233, 59, 'KSR2;FAM107B;ATRNL1;TBX5;CNTNAP2;ARHGAP44;NSRP1;SLC25A13;C15orf54;DAB1;KIRREL3;PHACTR3;SLITRK1;ATXN1;EBF2;ADAMTS2;RREB1;TBCD;CRISP1;CALD1;LPL;KCNJ2;SGCD;ETS1;FHDC1;RALYL;FAM208A;ACO1;PLCB1;ZNF521;ARHGAP20;ESRRB;FGF14;DPF3;DPYSL2;MAML2;IL18R1;TMTC2;TFAP2B;KCNH5;JARID2;MCC;ID4;IGF1;WWOX;TFAP2D;CREB5;CALCR;SPRY2;LRRTM4;LMO2;LSAMP;KCNQ5;PDGFRA;CADM1;RBM26;ENOX1;NPAS2;TNFRSF1B')
CAGGTG_E12_Q6	4.03349086255611e-12	1.110520871733261e-08	(17776, 303, 1528, 65, 'NXPH1;CNTLN;PDIK1L;YWHAZ;PCDH7;MAP3K4;ARHGAP44;SYT1;HS3ST4;ASXL2;PHACTR3;ATXN1;RSF1;RFTN1;RREB1;SSBP3;MAP2K1;NOVA2;LPL;KCNJ2;GABRG2;RALYL;RAG1;XYLT1;SLCO3A1;TMEFF2;FLNB;PLCB1;ZNF521;DPF3;BPTF;TMTC2;EFNA1;FBXO15;KCNH5;TLE4;KIT;SLC24A3;ROR1;ANK1;PKIA;WWOX;PRKD1;GPR156;SPRY2;LMO2;LRFN5;DSCAM;KCNK10;FRMD4A;PDGFRA;CADM1;FAM49A;RBM26;ARL8B;TMEM184A;BMP7;TERF2;MTMR14;COL22A1;KAT7;NPAS2;KIRREL3;ERG;IRX2')
BENPORATH_SUZ12_TARGETS	1.0248500437769355e-11	2.257334706423078e-08	(17776, 303, 716, 41, 'EPHA10;TBX5;SLC35F3;HS3ST4;KIRREL3;RPRML;SLITRK1;DOK6;RFTN1;PTPRT;GRIN3A;LPL;KCNJ2;OPRK1;TNFRSF1B;ST8SIA2;XYLT1;TMEFF2;C4orf22;LHX8;PLCB1;SNX7;ARHGAP20;DPF3;STK32B;EFNA1;TCEA3;KCNA3;MAF;FLRT2;NRP1;FBXO3;LRFN5;CSMD1;VASH1;PDGFRA;BMP8A;NPAS2;LRP2;ERG;EFNA3')
CDX2_Q5	5.656403045718332e-10	1.0382327790415998e-06	(17776, 303, 188, 19, 'CNTLN;ATP13A4;PCDH7;SSBP3;CREB5;MAP2K1;DPF3;TBX5;LPL;LSAMP;TLE4;CADM1;FAM49A;RALYL;PCSK2;FAM172A;NRP1;LRP2;BACH2')
CAGTATT_MIR200B_MIR200C_MIR429	7.757090359952943e-10	1.0836771276126634e-06	(17776, 303, 363, 26, 'NXPH1;PDIK1L;PCDH7;FGFR2;SYT1;COPS8;PHACTR3;SLITRK1;ATXN1;KCNJ2;ETS1;TMEFF2;ARHGAP20;NRIP1;FAM118B;VAT1L;BPTF;EFNA1;PKIA;SLC38A4;CREB5;CERS6;AKAP7;VASH1;ARL8B;PRKAR2B')
RTAAACA_FREAC2_01	7.871984945883326e-10	1.0836771276126634e-06	(17776, 303, 660, 36, 'TRIM63;ASXL2;PMCH;PHACTR3;ATXN1;RREB1;SSBP3;CRISP1;CALD1;KCNJ2;ETS1;NMUR1;BACH2;ZNF521;FGF14;GRIK2;FAM135B;RALGPS2;SPEN;MAF;MCC;ROR1;DDIT4;IGF1;PKIA;CREB5;FOXN3;FRMD4A;KCNQ5;CADM1;FAM49A;ENOX1;MMP13;MTMR14;ERG;GABARAPL2')
BENPORATH_ES_WITH_H3K27ME3	8.933203512158804e-10	1.0928504884940969e-06	(17776, 303, 795, 40, 'EPHA10;TBX5;SLC35F3;HS3ST4;KIRREL3;RPRML;SLITRK1;DOK6;PTPRT;HES5;GRIN3A;NOVA2;LPL;PCSK2;TNFRSF1B;ST8SIA2;XYLT1;TMEFF2;SLCO3A1;LHX8;ARHGAP20;DPF3;STK32B;TFAP2B;EFNA1;TCEA3;KCNA3;FLRT2;FBXO3;PRKD1;TFAP2D;CALCR;LRFN5;CSMD1;VASH1;KCNQ5;PDGFRA;BMP8A;NPAS2;LRP2;EFNA3')
BENPORATH_EED_TARGETS	9.92327693175426e-10	1.0928504884940969e-06	(17776, 303, 731, 38, 'TBX5;SLC35F3;KIRREL3;HTR1B;RPRML;SLITRK1;DOK6;PTPRT;GRIN3A;LPL;KCNJ2;ST8SIA2;TMEFF2;C4orf22;BACH2;LHX8;PLCB1;ARHGAP20;DPF3;STK32B;TFAP2B;EFNA1;TCEA3;KCNA3;MAF;FLRT2;FBXO3;TFAP2D;EGFR;CALCR;LRFN5;CSMD1;VASH1;KCNQ5;PDGFRA;BMP8A;LRP2;EFNA3')
