index	0	1	2
AACTTT_UNKNOWN	2.3411003745636573e-07	0.0012891269212534778	(17776, 80, 1317, 21, 'PRDM16;CNTNAP2;RB1CC1;NIPBL;SLITRK1;GABRG1;CYLD;C3orf58;CBLN4;ISL1;ST18;SLCO3A1;NR6A1;ZNF521;RNF152;NETO2;TCERG1L;PELO;DACH1;ECT2;PRPF4B;KIAA1468;BMPR2')
CAGGTG_E12_Q6	1.5034986962042108e-07	0.0012891269212534778	(17776, 80, 1528, 23, 'PRDM16;ITFG1;RANBP9;GTF2I;EXOC6;CYLD;GPR158;KCNK1;EML5;SLCO3A1;NR6A1;ZNF521;RNF152;FBXO15;NETO2;CCAR1;B4GALT5;GRIA1;DACH1;ITPR2;ATP7B;PLOD2;KIAA1468;FAM117B')
GSE43863_NAIVE_VS_LY6C_INT_CXCR5POS_CD4_EFF_TCELL_D6_LCMV_UP	1.752339342135899e-06	0.006432837724980885	(17776, 80, 128, 7, 'DACH1;NAF1;MACROD2;SOX2-OT;FAM117B;NRG3;GTF2IRD1')
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_DN	3.219336752153392e-06	0.007090911130293061	(17776, 80, 268, 9, 'SCFD2;ATP13A4;ITPR2;ST18;CTIF;PRPF4B;PLOD2;GTF2I;BRCA1')
GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	3.1886469219508937e-06	0.007090911130293061	(17776, 80, 140, 7, 'ATP13A4;PRDM16;KIF2B;MACROD2;SLC35F3;ATP7B;APOB')
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	4.18062335487715e-06	0.007673534167877009	(17776, 80, 837, 15, 'EN1;PRDM16;TACR3;RNF152;HHEX;ECT2;TCERG1L;SHROOM3;KCNH1;ATP7B;CBLN4;PLOD2;ISL1;DPP10;NRG3')
TGAATGT_MIR181A_MIR181B_MIR181C_MIR181D	7.563865618021333e-06	0.01190012172160985	(17776, 80, 379, 10, 'EN1;CNTNAP2;SPECC1L;EPC2;CCAR1;NIPBL;BMPR2;DPP10;SLITRK1;NR6A1')
RRAGTTGT_UNKNOWN	1.543823340710516e-05	0.021252658064056143	(17776, 80, 178, 7, 'ZNF521;CNTNAP2;ECT2;C3orf58;CBLN4;NIPBL;PELO')
WTGAAAT_UNKNOWN	2.5384422759295134e-05	0.031062071983124145	(17776, 80, 436, 10, 'EN1;DACH1;PRDM16;MTX2;TACR3;CCAR1;FBLN5;ST18;PELO;EXOC6')
BERENJENO_TRANSFORMED_BY_RHOA_UP	4.392418694921584e-05	0.043976097351974004	(17776, 80, 372, 9, 'ACTN4;ECT2;WDR43;C3orf58;SS18;POLR1E;BRCA1;DDX18;SLCO3A1')
GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_DN	3.9987936077862496e-05	0.043976097351974004	(17776, 80, 140, 6, 'SLC9A8;SAMSN1;RANBP9;SLC35F3;SOX2-OT;SERHL2')
SMTTTTGT_UNKNOWN	5.403596938899878e-05	0.04577677929854181	(17776, 80, 295, 8, 'EN1;KIF2B;CCAR1;SS18;ISL1;NIPBL;BMPR2;NR6A1')
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN	5.057757355321636e-05	0.04577677929854181	(17776, 80, 146, 6, 'ATP13A4;PRDM16;RNF152;CNTNAP2;KCNK1;NR6A1')
