index	0	1	2
AACTTT_UNKNOWN	4.374496672702363e-12	4.817633185647113e-08	(17776, 231, 1317, 50, 'SLIT3;HAO1;NR3C1;ARHGAP44;LRP1B;SLC1A3;CACNA2D3;IRX5;NIPBL;PHACTR3;MIR137HG;ATXN1;LRRC3B;ANKS1B;RREB1;NCAM2;ST3GAL1;GABRG1;FAM20B;KCNJ2;ZNF804B;EPC1;KCNIP1;TNFSF10;IRX6;NDST4;NRG1;MMP16;RIMS1;KLF4;FAM198B;VIT;MDGA1;PID1;AMIGO2;SEPP1;IGF1;BCHE;PABPC1;DDR2;EDIL3;FGF9;POU4F2;PACSIN2;CADM1;DYRK1A;DOCK4;UAP1;KYNU;ALCAM')
TTGTTT_FOXO4_01	9.194079851448544e-12	5.062720070200141e-08	(17776, 231, 1344, 50, 'SLIT3;NR3C1;SORBS2;GCC2;LIMK2;ABLIM1;PMCH;CACNA2D3;NIPBL;MIR137HG;NDUFS4;ATXN1;LRRC3B;ANKS1B;RREB1;SST;FIGN;CACNA2D1;GABRG1;DNAH7;ANO3;ITPR1;NDST4;NRG1;CNGB3;RALGPS2;VIT;MDGA1;AMIGO2;SEPP1;WNT5A;IGF1;SLC38A4;TNPO1;ANKRD28;IMMP2L;BIN1;OPCML;FGF9;AATK-AS1;POU4F2;CADM1;VGLL3;DOCK4;DYRK1A;PAM;NEO1;SCML4;ZNF385B;NDRG1')
TGGAAA_NFAT_Q4_01	6.754516308091995e-11	2.479582936700571e-07	(17776, 231, 1233, 46, 'SLIT3;PCSK7;NR3C1;ARHGAP44;LIMK2;LRP1B;RASAL2;IRX5;CACNA2D3;PHACTR3;MIR137HG;NDUFS4;ATXN1;RREB1;AGBL1;KCNJ2;EPC1;BTBD9;TNFSF10;IPCEF1;SLC16A1;ITPR1;NDST4;NRG1;IRX6;VIT;PAQR5;LIMS1;PID1;KCNA5;WNT5A;IGF1;DDR2;TNPO1;MME;ANKRD28;DHX37;OPCML;CADM1;VGLL3;DOCK4;KCNH7;E2F3;CNTN5;KYNU;HGF')
CDP_02	5.8865781111794e-09	1.6207221184604682e-05	(17776, 231, 79, 11, 'GBX2;NDST4;GINS3;FGF9;SYT1;CADM1;DOCK4;SLC1A3;CACNA2D3;PHACTR3;DGKB')
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	9.493017895786845e-08	0.00020909321217260106	(17776, 231, 446, 22, 'PHACTR3;LRRC3B;PTPRT;GRID1;EXOC3L2;SST;SYNDIG1L;KCNIP1;PAQR5;SLC12A5;KCNQ1;KCNA5;EPHA6;PTPRN2;CBLN2;LUZP2;CSMD1;POU4F2;ZNRF4;SLCO4C1;KCNH7;SRCIN1')
CAGGTG_E12_Q6	1.621827860614776e-07	0.00029768650381584215	(17776, 231, 1528, 45, 'MYH14;NR3C1;SORBS2;ARHGAP44;LIMK2;SYT1;RASAL2;IRX5;CACNA2D3;PHACTR3;NDUFS4;ATXN1;RREB1;MICAL2;NCAM2;KCNJ2;KBTBD8;KCNIP1;SLIT2;GALNT2;NPAT;SGMS1;IRX6;NRG1;MMP16;KLF4;PAQR5;MDGA1;SLC12A5;KCNA5;KCNQ1;SEPP1;ITSN2;ALCAM;FGF9;POU4F2;NDRG4;CADM1;SLCO4C1;KCNH7;E2F3;CNTN5;HGF;SRCIN1;ZNF385B')
GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_DN	4.018615586248848e-07	0.0006322430493051224	(17776, 231, 144, 12, 'PTPRT;PTPRN2;PKP2;NRIP1;SORBS2;NIPBL;SYT1;NDRG4;PAFAH2;UNC93A;SLC12A5;NDRG1')
RTAAACA_FREAC2_01	5.182942580242634e-07	0.0007134968329526516	(17776, 231, 660, 26, 'FHL2;NR3C1;PMCH;PHACTR3;ATXN1;RREB1;KCNJ2;NDST4;NRG1;CNGB3;MMP16;RALGPS2;VIT;IGF1;SEPP1;ITSN2;ANKRD28;IMMP2L;BIN1;FGF9;CADM1;VGLL3;E2F3;NEO1;ZNF385B;NDRG1')
STK33_NOMO_UP	1.1105679861318455e-06	0.001358965025696668	(17776, 231, 219, 14, 'ST3GAL1;STK17B;GNPDA2;NCEH1;KCNJ2;HECW2;KBTBD8;FAM198B;CADM1;DOCK4;PID1;KYNU;WNT5A;SETBP1')
CTGCAGY_UNKNOWN	1.9042558550890043e-06	0.0019065063392813822	(17776, 231, 491, 21, 'LIMK2;LRP1B;NIPBL;PHACTR3;AGAP1;LRRC3B;KCNJ2;KCNIP1;BTBD9;NRG1;TSHZ3;RIMS1;RGS8;PID1;SLC12A5;ANKRD28;OPCML;FGF9;POU4F2;HGF;ALCAM')
YOSHIMURA_MAPK8_TARGETS_UP	1.731481989455526e-06	0.0019065063392813822	(17776, 231, 890, 30, 'PCSK7;NR3C1;TLR4;TEX261;ATXN1;GRID1;SST;GABRG1;KCNJ2;EDN3;NFIC;ITPR1;NRG1;RIMS1;RGS8;SLC12A5;KCNA5;MYT1L;IGF1;SEPP1;BIN1;ALCAM;NDRG4;CADM1;NPY;TNC;KCNH7;DYRK1A;KYNU;ZNF280D')
KAAB_HEART_ATRIUM_VS_VENTRICLE_DN	2.374399034003031e-06	0.0021791047134562818	(17776, 231, 201, 13, 'FHL2;CYB5A;GOT2;PKP2;SORBS2;TMC6;GBE1;NDRG4;SLC1A3;ABLIM1;IRX5;KCNQ1;ITGA9')
GABRIELY_MIR21_TARGETS	2.963896516726851e-06	0.0025108763337471393	(17776, 231, 238, 14, 'ITSN2;DDR2;TNPO1;FIGN;SEC63;RFX7;ANKRD28;TLR4;RALGPS2;FAM102B;ANO3;NIPBL;LCORL;WNT5A')
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	3.834309415608604e-06	0.002815149972939837	(17776, 231, 975, 31, 'GBX2;LRRC32;TLR4;FAM102B;NBPF6;ANKS1B;GRID1;KCTD8;MICAL2;CACNA2D1;PKP2;KCNJ2;LINC00482;ZPLD1;ANO3;EDN3;FAM136A;BTBD9;ST8SIA6;CNGB3;RIMS1;BLOC1S3;AMIGO2;BCHE;SLC39A10;SLC38A4;LOC441178;PDE7B;ANO5;AATK-AS1;ZAN')
DELYS_THYROID_CANCER_DN	3.8040964506302677e-06	0.002815149972939837	(17776, 231, 178, 12, 'IPCEF1;ITPR1;PCLO;SORBS2;LIMK2;LRP1B;NDRG4;EDN3;FMO2;TNFSF10;SETBP1;CPNE3')
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	1.0122924461807953e-05	0.006676220639351577	(17776, 231, 379, 17, 'FHL2;C10orf120;PMAIP1;NRIP1;ST3GAL1;STK31;STK17B;ANKRD28;PLCXD3;TGFA;TNC;ZNF536;PABPC1P2;IRX5;PHACTR3;CYTH1;SGMS1')
SILIGAN_BOUND_BY_EWS_FLT1_FUSION	1.0305616168980007e-05	0.006676220639351577	(17776, 231, 39, 6, 'GRID1;FHIT;CNGB3;LRP1B;NEO1;ANKS1B')
FREAC2_01	1.2506746914905456e-05	0.007652044654102987	(17776, 231, 200, 12, 'NRG1;FGF9;SYT1;VIT;CADM1;E2F3;NIPBL;SEPP1;IGF1;ATXN1;ZNF385B;NDRG1')
BLALOCK_ALZHEIMERS_DISEASE_DN	1.4636673397729948e-05	0.008483878112063152	(17776, 231, 842, 27, 'SORBS2;LRP1B;SYT1;DGKB;NDUFS4;ATXN1;PTPRT;SST;ANO3;EDN3;KCNIP1;SLIT2;ITPR1;FHIT;NRIP1;FAM198B;SLC12A5;MYT1L;IGF1;GOT2;ITSN2;PTPRN2;PCLO;NDRG4;NPY;UAP1;PAM')
PIT1_Q6	1.682215855151806e-05	0.00926312160639342	(17776, 231, 173, 11, 'GBX2;ARHGAP44;OPCML;FGF9;CADM1;VGLL3;PMCH;PHACTR3;MIR137HG;ZNF385B;ANKS1B')
GGGAGGRR_MAZ_Q6	2.291227334312425e-05	0.009705110243377975	(17776, 231, 1333, 36, 'GBX2;SLIT3;ARHGAP44;LIMK2;NIPBL;PHACTR3;NDUFS4;LRRC3B;MICAL2;FIGN;NCAM2;ST3GAL1;VPS13C;FMO2;ITPR1;NDST4;NRG1;SEC63;RIMS1;ARHGAP15;SLC12A5;WNT5A;PABPC1;DDR2;TNPO1;SRCIN1;CBLN2;FGF9;CADM1;NPY;DOCK4;DYRK1A;E2F3;RANBP17;NEO1;ALCAM')
HNF6_Q6	2.1948056557018567e-05	0.009705110243377975	(17776, 231, 178, 11, 'CACNA2D3;NDST4;NRG1;SST;ANKRD28;TSHZ3;POU4F2;CADM1;ZPLD1;NIPBL;MIR137HG')
SMID_BREAST_CANCER_BASAL_DN	2.233327666917625e-05	0.009705110243377975	(17776, 231, 488, 19, 'CYB5A;PTPRT;SLIT3;ITPR1;CACNA2D3;PTPRN2;TNFSF10;PCLO;NRIP1;RALGPS2;SYT1;FAM198B;IRX5;SEPP1;HGF;AMIGO2;IGF1;ALCAM;CST5')
CTTTGT_LEF1_Q2	2.0462331585421523e-05	0.009705110243377975	(17776, 231, 1272, 35, 'GBX2;SLIT3;SORBS2;ABLIM1;IRX5;CACNA2D3;PHACTR3;DGKB;MIR137HG;LRRC3B;SETBP1;PTPRT;CACNA2D1;EPC1;BTBD9;NPAT;TNFSF10;SLC16A1;NRG1;CNGB3;MMP16;SEC63;TRIM24;GBE1;FAM198B;RGS8;BCHE;SLC38A4;OPCML;FGF9;AATK-AS1;VGLL3;DOCK4;NEO1;MYH14')
STAT5A_03	2.1948056557018567e-05	0.009705110243377975	(17776, 231, 178, 11, 'ANO2;CNGB3;GABRG1;MNS1;CADM1;VGLL3;KCNH7;CACNA2D3;PHACTR3;MIR137HG;NEO1')
TACTTGA_MIR26A_MIR26B	2.1128937730514307e-05	0.009705110243377975	(17776, 231, 246, 13, 'PTER;HAO1;NRIP1;MMP16;NCEH1;KCNJ2;KBTBD8;WNT5A;KCNH7;FAM136A;HGF;IGF1;ANKS1B')
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	2.4348487521698465e-05	0.009931477521350563	(17776, 231, 180, 11, 'MME;NRG1;MICAL2;SEC63;NR3C1;NRIP1;FAM198B;VGLL3;SLC1A3;PID1;AMIGO2')
STK33_UP	2.8176164498628135e-05	0.010372178600238343	(17776, 231, 217, 12, 'GNPDA2;HECW2;NCEH1;KCNJ2;KBTBD8;FAM198B;DOCK4;PID1;KYNU;WNT5A;ATXN1;SETBP1')
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	3.0137992845512303e-05	0.010372178600238343	(17776, 231, 331, 15, 'FHL2;MICAL2;TNFSF10;NRIP1;SEPP1;LRP1B;KLF4;TLR3;TMEM135;FMO2;PMAIP1;IGF1;WNT5A;ALCAM;BCHE')
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	2.958210355113709e-05	0.010372178600238343	(17776, 231, 588, 21, 'FHL2;LIMK2;RASAL2;SLC1A3;ABLIM1;ATXN1;SETBP1;CNTNAP3;PKP2;TGFA;VPS13C;SGMS1;MBOAT1;TNPO1;EDIL3;PTPRS;NCEH1;ARHGEF37;TNC;ALCAM;NDRG1')
