index	0	1	2
BIOCARTA_INTRINSIC_PATHWAY	1.4399747685331333e-10	1.5858442125855397e-06	(17776, 11, 16, 4, 'FGG;KLKB1;F5;FGA')
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	4.727840617452064e-10	2.6033854359999793e-06	(17776, 11, 21, 4, 'FGG;KLKB1;F5;FGA')
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	8.783501154489372e-09	3.224423273813049e-05	(17776, 11, 42, 4, 'FGG;KLKB1;F5;FGA')
BIOCARTA_EXTRINSIC_PATHWAY	1.4785143329202231e-08	3.2565756696900835e-05	(17776, 11, 9, 3, 'FGG;F5;FGA')
REACTOME_HEMOSTASIS	1.3937186127184539e-08	3.2565756696900835e-05	(17776, 11, 320, 6, 'FGG;F5;ATP1B1;SELL;KLKB1;FGA')
REACTOME_COMMON_PATHWAY	2.902263417243034e-08	5.327104502349589e-05	(17776, 11, 11, 3, 'FGG;F5;FGA')
chr9q33	1.1419341798684665e-06	0.0013973467914323802	(17776, 11, 35, 3, 'RPL7A;SURF6;SURF4')
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	1.101037005126364e-06	0.0013973467914323802	(17776, 11, 138, 4, 'ATP1B1;SURF6;SELE;PKD2')
GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_DN	9.787714291164745e-07	0.0013973467914323802	(17776, 11, 134, 4, 'SELL;TMEM108;NME7;SURF6')
GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_UP	1.536510815185324e-06	0.0015383266916032705	(17776, 11, 150, 4, 'SELL;F5;PKD2;SURF4')
GSE12003_MIR223_KO_VS_WT_BM_PROGENITOR_4D_CULTURE_UP	1.4173999939960024e-06	0.0015383266916032705	(17776, 11, 147, 4, 'SELL;ATP1B1;REXO4;SPP1')
HSIAO_LIVER_SPECIFIC_GENES	1.8905638459411849e-06	0.0016015984334884824	(17776, 11, 158, 4, 'FGG;KLKB1;F5;FGA')
chr1q23	1.856128180187388e-06	0.0016015984334884824	(17776, 11, 41, 3, 'SELL;SLC19A2;F5')
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	6.5386642406259595e-06	0.005143593520143835	(17776, 11, 62, 3, 'FGG;F5;FGA')
LEE_BMP2_TARGETS_UP	9.47451102370228e-06	0.006956185993602214	(17776, 11, 533, 5, 'F5;ATP1B1;SPP1;OBP2B;DPT')
chr9q34	1.0713080193215264e-05	0.0073739470104924815	(17776, 11, 73, 3, 'REXO4;MED22;OBP2B;ABO;ADAMTS13')
LENAOUR_DENDRITIC_CELL_MATURATION_UP	1.8806036800529247e-05	0.01218299313436639	(17776, 11, 88, 3, 'ATP1B1;SPP1;PKD2')
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TCONV_CD4_TCELL_UP	2.7599082861032432e-05	0.016394791747915333	(17776, 11, 100, 3, 'RPL7A;PKD2;SURF6')
NABA_MATRISOME	2.8284849106546023e-05	0.016394791747915333	(17776, 11, 668, 5, 'FGG;SPP1;FGA;DPT;ADAMTS13')
ROY_WOUND_BLOOD_VESSEL_DN	3.155937541650852e-05	0.01655063816485754	(17776, 11, 14, 2, 'F5;ATP1B1')
NFE2L2.V2	3.005975368122454e-05	0.01655063816485754	(17776, 11, 318, 4, 'FGG;F5;SPP1;FGA')
RASHI_RESPONSE_TO_IONIZING_RADIATION_5	4.302708877414776e-05	0.02153896948498588	(17776, 11, 116, 3, 'F5;SURF6;DPT')
LI_AMPLIFIED_IN_LUNG_CANCER	4.64360211966269e-05	0.022234778323410958	(17776, 11, 119, 3, 'FGG;ATP1B1;SPP1')
GSE11961_FOLLICULAR_BCELL_VS_PLASMA_CELL_DAY7_UP	6.044571841512858e-05	0.02378204048592218	(17776, 11, 130, 3, 'FGG;HS3ST4;SPP1')
GSE39916_B_CELL_SPLEEN_VS_PLASMA_CELL_BONE_MARROW_UP	8.537922352069433e-05	0.02378204048592218	(17776, 11, 146, 3, 'SELL;TMEM108;ATP1B1')
GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_DN	5.3776764520983536e-05	0.02378204048592218	(17776, 11, 125, 3, 'RPL7A;TMEM108;SURF6')
GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_UP	8.890096814542797e-05	0.02378204048592218	(17776, 11, 148, 3, 'FAM110A;ATP1B1;METTL18')
chr1q22	7.989614300888842e-05	0.02378204048592218	(17776, 11, 22, 2, 'ATP1B1;SELE')
GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP	8.890096814542797e-05	0.02378204048592218	(17776, 11, 148, 3, 'SLC19A2;KLKB1;PKD2')
GSE29949_CD8_NEG_DC_SPLEEN_VS_CD8_POS_DC_SPLEEN_DN	7.861272243137273e-05	0.02378204048592218	(17776, 11, 142, 3, 'SELL;F5;METTL18')
