index	0	1	2
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	4.035141219268199e-08	0.00044439010247800673	(17776, 71, 763, 16, 'WWOX;HSPA4;PTGFRN;EPHB2;MAPK8;AES;SGMS1;TPX2;SORCS1;SPATS2;MAF;ZNF488;CDC123;PTCD2;NDUFS4;APP;SNX29')
GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	1.906570457906282e-07	0.001049853022646094	(17776, 71, 363, 11, 'HSPA4;EPHB2;MAPK8;AES;SGMS1;SORCS1;SPATS2;MAF;CDC123;PTCD2;APP')
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	2.5916954898344043e-06	0.009514114143182097	(17776, 71, 1171, 17, 'WWOX;ZNF521;HSPA4;MAPK8;PPARGC1B;CLYBL;ARHGEF10L;GRK5;RAD51B;SPATS2;OSR1;CHEK1;MTDH;PYGB;PLD1;PTCD2;TLE2')
MATTIOLI_MULTIPLE_MYELOMA_WITH_14Q32_TRANSLOCATIONS	5.15023201474736e-06	0.014179876294603167	(17776, 71, 29, 4, 'GUCY1A3;MAF;PYGB;KLF4')
CTTTGT_LEF1_Q2	7.860557909622942e-06	0.01731366485173549	(17776, 71, 1272, 17, 'PTPRT;CREB5;ZNF521;GRIK2;PTGFRN;EPHB2;FAM91A1;SOX5;GBE1;GRK5;BCL2L1;SPATS2;ST8SIA3;MAF;OSR1;SS18;APP')
ST_GA12_PATHWAY	2.1546546337144704e-05	0.033317421955093254	(17776, 71, 14, 3, 'PLD1;EPHB2;MAPK8')
CAGGTG_E12_Q6	2.261602343533554e-05	0.033317421955093254	(17776, 71, 1528, 18, 'WWOX;ZNF521;FAM19A2;CYB5R4;SGMS1;PPARGC1B;DIO3;CAMK1D;KLF4;STT3A;BCL2L1;TUBA1C;OSR1;GNA11;GUCY1A3;NDUFS4;APP;PRKAG2')
GCANCTGNY_MYOD_Q6	2.4202249672273317e-05	0.033317421955093254	(17776, 71, 600, 11, 'ZNF521;EPHB2;PPARGC1B;SOX5;CAMK1D;GRK5;STT3A;ENOX1;OSR1;PRKAG2;GUCY1A3')
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	2.744862317356236e-05	0.03358796522338248	(17776, 71, 849, 13, 'WWOX;GRIK2;CYB5R4;PPARGC1B;FAM91A1;TPX2;GRK5;XPNPEP1;CHEK1;SS18;MTDH;DIDO1;LRRC4C')
BENPORATH_NANOG_TARGETS	4.064414281481679e-05	0.04069217680177975	(17776, 71, 635, 11, 'ZNF521;HSPA4;MAPK8;UNC5D;TPX2;OSR1;CDC123;DIDO1;MRAP2;SGMS1;TLE2')
ATATGCA_MIR448	3.854304558985582e-05	0.04069217680177975	(17776, 71, 157, 6, 'GRIK2;EPHB2;STT3A;MAF;SS18;MTDH')
AACTTT_UNKNOWN	4.949254292540249e-05	0.04542178126978814	(17776, 71, 1317, 16, 'COL25A1;CREB5;ZNF521;PTGFRN;EPHB2;FAM19A2;PPARGC1B;FAM91A1;SOX5;CAMK1D;KLF4;TUBA1C;MAF;OSR1;PRKAG2;APP')
GTGCAAA_MIR507	6.250338926111925e-05	0.04965855890622397	(17776, 71, 105, 5, 'GRIK2;SORCS1;MAF;MTDH;SGMS1')
TTGTTT_FOXO4_01	6.312719737466046e-05	0.04965855890622397	(17776, 71, 1344, 16, 'CREB5;ZNF521;GRIK2;MAPK8;FAM91A1;SOX5;GRK5;SPATS2;MAF;MAP9;PRKAG2;PLD1;SGCZ;NDUFS4;PPP3R1;APP')
