index	0	1	2
AACTTT_UNKNOWN	8.09315532606751e-15	8.912991960598148e-11	(17776, 165, 1317, 45, 'WDR81;SLK;CDH11;ETV1;ZDHHC22;UBE2R2;RELN;TRPC4;IL16;SMAD2;SLITRK1;WASF2;SMOC1;PDS5A;NCAM2;CACNG2;KCNH8;NRSN1;TTBK2;SEMA5A;ZMYM4;MPP6;NCKAP5;ARSJ;MAFB;SLC9A1;ATOH1;PRRX1;ARL4A;ZNF521;GABRB1;NTM;PCDH10;KIT;CLVS1;TLE1;THRAP3;ELMO1;ANK3;ZFHX4;MRPL1;CADM1;PDE4D;FAM49A;PRPF4B;COL3A1')
TTGTTT_FOXO4_01	1.5803237857877905e-12	5.801368617626979e-09	(17776, 165, 1344, 42, 'CDH11;ANGPT1;ETV1;ZDHHC22;UBE2R2;ANXA1;MARCKS;CNTNAP4;TRPC4;SLITRK1;SMOC1;PRMT6;CACNG2;FIGN;PTPRD;FAM124B;NRSN1;CCNG2;TTBK2;MPP6;UGT8;ATOH1;C5orf64;PRRX1;EXOC4;ARL4A;ZNF521;NMNAT2;GRIK2;ARHGAP20;TEK;ST5;ACVR2A;PKIA;CLVS1;TLE1;ANK3;OPCML;MRPL1;CADM1;VGLL3;PDE4D')
CTTTGT_LEF1_Q2	1.1529193311461193e-12	5.801368617626979e-09	(17776, 165, 1272, 41, 'WDR81;CDH11;ANGPT1;ETV1;UBE2R2;MARCKS;BMPR1B;TRPC4;SS18;SMAD2;SLITRK1;WASF2;PDS5A;UBE2K;SVIL;KCNH8;CCNG2;NCKAP5;MAFB;ATOH1;C5orf64;PRRX1;ARL4A;ZNF521;SFPQ;FAM20C;GRIK2;LMF1;KCTD12;CTNNA2;GSK3B;ST5;KIT;ACVR2A;CLVS1;PKIA;ANK3;OPCML;PDE4D;VGLL3;ANK2;COL3A1')
RTAAACA_FREAC2_01	1.0688809151297183e-08	2.942896379580897e-05	(17776, 165, 660, 24, 'ETV1;MARCKS;TRPC4;IL16;WASF2;CACNG2;ADAM12;MPP6;C5orf64;ZNF521;GRIK2;TEK;KCTD12;RNF17;PKIA;WDTC1;TLE1;EFHB;ELMO1;ZFHX4;CADM1;VGLL3;FAM49A;ANK2')
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	4.1803139975814555e-08	9.207559611072914e-05	(17776, 165, 274, 15, 'PRRX1;COL8A2;LAPTM5;SAMSN1;CDH11;ETV1;KDR;ANXA1;KIAA1462;ADAM12;COL5A2;KCTD12;COL3A1;MAFB;XYLT1;SERPINE2')
GOZGIT_ESR1_TARGETS_DN	1.6757380243384282e-07	0.0003075817143673185	(17776, 165, 544, 20, 'GRIN2A;CHST15;ARL4A;NCAM2;FIGN;SLC46A3;KDR;MARCKS;ANK3;MACROD2;BMPR1B;PCSK6;PRLR;TGFA;NCKAP5;PCDH10;COL3A1;PKIA;GULP1;TLE1')
DAWSON_METHYLATED_IN_LYMPHOMA_TCL1	2.8014013237451654e-07	0.00044074046826293576	(17776, 165, 48, 7, 'TBX18;FIGN;PTPRD;MACROD2;NRSN1;AJAP1;PCDH10')
TGGAAA_NFAT_Q4_01	3.278482311981325e-07	0.0004513240712731291	(17776, 165, 1233, 31, 'WDR81;SLK;GRM8;ETV1;ANGPT1;IL16;SLITRK1;CACNG2;SVIL;AGBL1;PCSK6;ADAM12;NCKAP5;ZMYM4;PRRX1;ZNF521;SFPQ;NMNAT2;ARHGAP20;MAPK4;PCDH10;CDK8;CLVS1;ELMO1;OPCML;SND1;CADM1;VGLL3;CNTN5;KCNH7;PDE4D')
CAGGTG_E12_Q6	4.622686288722133e-07	0.0005656627121966317	(17776, 165, 1528, 35, 'ADAM10;WDR81;GRM8;ETV1;ANGPT1;BMPR1B;GRIN2A;CNOT6L;SMOC1;MATN1;NCAM2;SLAMF7;ADAM12;NCKAP5;KCNK1;XYLT1;SERPINE2;ARL4A;ZNF521;LAPTM5;GABRB1;LMF1;KIT;KCNQ1;PKIA;WDTC1;ACVR2A;CLVS1;TLE1;ELMO1;ANK3;CADM1;FAM49A;CNTN5;KCNH7;ANK2')
SERVITJA_ISLET_HNF1A_TARGETS_UP	6.91671510256773e-07	0.0007617378342457842	(17776, 165, 139, 10, 'ZNF521;LAPTM5;CDH11;ZFHX4;ANXA1;NRSN1;COL5A2;NTM;CXCL13;COL3A1;SERPINE2')
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	9.693507453540572e-07	0.0009704963416894756	(17776, 165, 180, 11, 'PRRX1;ANGPT1;SVIL;MARCKS;GLT8D2;ADAM12;VGLL3;SEMA5A;COL3A1;PKIA;TLE1')
KRAS.KIDNEY_UP.V1_UP	1.918080104582023e-06	0.0017603180159801517	(17776, 165, 121, 9, 'GRIK2;NMNAT2;ETV1;GABRB1;ANK3;RELN;ANK2;KIT;MAFB')
KRAS.600_UP.V1_UP	2.7188804047875365e-06	0.0023033099921480876	(17776, 165, 200, 11, 'NMNAT2;LAPTM5;ETV1;ANK3;CXCL3;RELN;CTNNA2;NTM;GRIN2A;UGT8;KIT')
NABA_MATRISOME	4.053477585622521e-06	0.003161399720760318	(17776, 165, 668, 20, 'ADAM10;COL8A2;SMOC1;MATN1;FAM20C;ANGPT1;ANXA1;RELN;PCSK6;COL5A2;FCN3;SEMA5A;ADAM12;TGFA;IL16;BRINP3;CXCL3;CXCL13;COL3A1;SERPINE2')
CEBP_Q2	4.305910815527538e-06	0.003161399720760318	(17776, 165, 170, 10, 'WDR81;CHST15;TTC39B;ANGPT1;CADM1;PDE4D;KCNH7;MPP6;GSK3B;NCKAP5')
REACTOME_NEURONAL_SYSTEM	4.766983858576425e-06	0.0032811745771563856	(17776, 165, 212, 11, 'GRIK2;CACNG2;GABRA4;GABRB1;RPS6KA1;KCNH8;KCNH1;KCNH7;GRIN2A;KCNQ1;KCNK1')
TTGCCAA_MIR182	5.185674161017225e-06	0.0033594017373695705	(17776, 165, 257, 12, 'ADAM10;PRRX1;EXOC4;KHDRBS3;UBE2R2;ELMO1;ANK3;MARCKS;CD47;PRPF4B;ANK2;WASF2')
RAO_BOUND_BY_SALL4_ISOFORM_A	6.398584145257705e-06	0.003914867066206839	(17776, 165, 140, 9, 'ADAM10;PRRX1;CDH8;APLF;C1orf87;GRIP1;GABRB1;ANK3;SERPINE2')
WANG_SMARCE1_TARGETS_UP	7.719764625104111e-06	0.004250888390813579	(17776, 165, 223, 11, 'PRRX1;ZNF521;MARCKS;KIAA1462;CADM1;ST5;PCDH10;COL3A1;MAFB;GULP1;ADD2')
P53_DN.V1_UP	7.605121638209919e-06	0.004250888390813579	(17776, 165, 143, 9, 'ARL4A;KHDRBS3;GRIK2;NMNAT2;CDH11;MARCKS;ANXA1;UGT8;COL3A1')
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	9.361806260425273e-06	0.004778541741952735	(17776, 165, 53, 6, 'PRRX1;CDH11;GLT8D2;ADAM12;COL5A2;NTM;COL3A1')
P53_DECAMER_Q2	9.54580208144558e-06	0.004778541741952735	(17776, 165, 186, 10, 'PRRX1;CACNG2;NCAM2;SHISA6;ETV1;ANXA1;ST5;GRIN2A;SLITRK1;WASF2')
SWEET_LUNG_CANCER_KRAS_DN	1.1883373952655325e-05	0.005690069449591004	(17776, 165, 327, 13, 'ACVR2A;PTPRD;CDH11;ANGPT1;KDR;MARCKS;TEK;CADM1;CD47;KCTD12;ST5;KIT;COL3A1;PKIA')
ATATGCA_MIR448	1.6155072031038483e-05	0.0074131586782427835	(17776, 165, 157, 9, 'ADAM10;PDS5A;GRIK2;ETV1;ZFHX4;RNGTT;KCNH7;SS18;ANK2')
CEBP_01	1.79621026321629e-05	0.0079126654515204	(17776, 165, 200, 10, 'CACNG2;FIGN;SAMSN1;CADM1;VGLL3;NCKAP5;ST5;ACVR2A;ATOH1;C5orf64')
