index	0	1	2
AACTTT_UNKNOWN	9.88357544877021e-17	1.0884781641730632e-12	(17776, 364, 1317, 76, 'TRERF1;ATP2B4;TMEM132E;CDH11;CNTNAP2;RB1CC1;HLX;RARB;LRP1B;EPHB1;BCL6;NOVA1;PEX5L;GYPC;INHBA;EFCAB11;ST8SIA1;ATXN1;STXBP6;ANKS1B;PKHD1;CCNJL;GRIK1;ACOXL;NCAM2;EPHB2;RBFOX1;PRNP;SGCD;JPH1;C5orf30;C3orf58;ERBB4;NCKAP5;CBLN4;TRDN;FST;PPP2R3A;ARL5B;SNW1;GFPT2;CBLB;STARD13;FAM192A;PCSK5;LTBP1;TAC1;RNF13;FGF14;CNTNAP5;KITLG;TSKU;ARHGAP21;NTM;ELAVL2;KIT;LHFPL3;SI;DUSP10;WASL;MECOM;ASB5;SPINK5;ABCB5;DACH1;EDIL3;FOXN3;CDK6;CLIC4;ESR1;ADAMTSL1;USP12;HAPLN1;PTEN;ALCAM;RUNX1')
TTGTTT_FOXO4_01	1.062326179658795e-13	5.849699108291154e-10	(17776, 364, 1344, 71, 'CAMKMT;HNF4G;TRERF1;FAM107B;TRIM63;ZNF770;CDH11;ANGPT1;HLX;SASH1;RARB;STMN1;NOVA1;BCL6;GUCY1A2;PEX5L;MANEA;INHBA;DMRTA1;ST8SIA1;ATXN1;ANKS1B;UBE3A;STXBP6;NDFIP1;PRMT6;RBFOX1;GABRG2;SERBP1;C3orf58;PPP1R2P3;ERBB4;TRDN;ITGB8;PPP2R3A;GNAQ;CPEB3;FST;TFEC;GPM6A;STARD13;CBLB;ZNF385B;FGF14;PREPL;RNF13;ABRA;KITLG;SLC26A2;ELAVL2;PPM1B;EMP1;MECOM;HS3ST1;GPR12;IMMP2L;NCAM1;FOXN3;LRFN5;OPCML;CDK6;AKR1A1;RASGRP3;DNER;NAALADL2;MARK1;HAPLN1;GPR39;FGD4;RUNX1;PAM')
TGGAAA_NFAT_Q4_01	1.6168291828765525e-13	5.935379930339824e-10	(17776, 364, 1233, 67, 'HNF4G;FAM107B;TRERF1;GDPD5;ATP2B4;RARB;ANGPT1;CNTNAP2;SASH1;NSUN6;STMN1;RRBP1;BCL6;LRP1B;COTL1;GYPC;INHBA;ST8SIA1;GADD45A;ATXN1;POGK;RBFOX1;AGBL1;SGCD;NIN;ERBB4;KBTBD12;NCKAP5;TRDN;ITGB8;PPP2R3A;GNAQ;CPEB3;FST;STARD13;ZNF138;FAM192A;PCSK5;FGF14;LTBP1;TAC1;ABRA;GDF10;PPM1B;BMP2;EMP1;WASL;MECOM;RASGRF2;ASB5;WWOX;SPINK5;HTR1F;CDK6;OPCML;UBE2U;ESR1;ADAMTSL1;GABRB3;PLOD2;NAALADL2;USP12;ENOX1;HAPLN1;RASGRP3;FGD4;RUNX1')
CTTTGA_LEF1_Q2	1.9868266581361853e-11	5.470230496513452e-08	(17776, 364, 796, 48, 'RRBP1;RARB;BCL6;SESTD1;MANEA;INHBA;GNA12;OSTF1;GADD45A;ANKS1B;UBE3A;C12orf42;FGF18;GABRG2;SGCD;SPRY4;ERBB4;KBTBD12;NCKAP5;FST;GPM6A;GFPT2;FAM192A;FGF14;POU1F1;CMAS;KITLG;SORCS1;TSKU;ELAVL2;EMP1;MECOM;DUSP10;DACH1;RUNX3;RINT1;FOXN3;OPCML;UBE2U;MYOF;SMG7;ADAMTSL1;RASGRP3;BARX2;HAPLN1;ALCAM;RUNX1;PAM')
ZWANG_TRANSIENTLY_UP_BY_1ST_EGF_PULSE_ONLY	1.078365308410037e-09	2.375207428303947e-06	(17776, 364, 1080, 54, 'TRERF1;ANGPT1;CNTNAP2;RB1CC1;CACHD1;BCL6;GUCY1A2;SORCS2;EFHC1;ZNF611;SNX16;LLGL2;CMKLR1;TTC39B;KDR;FGF18;GABARAPL3;MAP6;AGTPBP1;PPP1R2P3;SHISA9;KIF13A;GLCCI1;TMEM45A;CPEB3;TESK2;LY6E;GPAM;PCSK5;ZNF385B;POU1F1;OR4C16;KITLG;SORCS1;PPM1B;KLHL2;BMP2;ERCC4;HTR1F;ARMC7;HPS5;PROS1;FOXN3;CDK13;CDK6;C12orf75;CCDC30;PAIP2B;C1orf140;NAALADL2;C5orf46;FGD4;CNTNAP5;PAM')
CTTTGT_LEF1_Q2	2.848819215628905e-09	5.229007670286855e-06	(17776, 364, 1272, 59, 'RNF4;CLASP1;KLHL6;CDH11;ANGPT1;RARB;RB1CC1;UCHL3;CMTM5;STMN1;BCL6;SESTD1;FZD1;DGKB;ST8SIA1;GADD45A;STXBP6;CCNJL;PTPRT;POGK;NPBWR1;NDFIP1;C12orf42;EPHB2;RBFOX1;GABRG2;GLIS3;PRTFDC1;C3orf58;NIN;NCKAP5;CBLN4;ITGB8;PPP2R3A;FST;ARL5B;BACH2;GPM6A;GFPT2;STARD13;FAM192A;GBE1;SYT11;TSKU;CTNNA2;ELAVL2;KIT;ARHGAP12;GPR12;DACH1;FOXN3;CDK6;OPCML;XRN2;ADAMTSL1;PLOD2;NAALADL2;HAPLN1;FGD4')
GGGAGGRR_MAZ_Q6	6.311146157948056e-09	9.929236091068849e-06	(17776, 364, 1333, 60, 'HNF4G;TRERF1;TMEM132E;RARB;CNTNAP2;RB1CC1;KCNAB1;HAPLN1;PEX5L;GYPC;KLHL1;STXBP6;CCNJL;NDFIP1;POGK;PRMT6;SLC22A17;EPHB2;NCAM2;RBFOX1;PDZK1IP1;GABRG2;JPH1;PRTFDC1;SPRY4;C3orf58;NIN;NCKAP5;KIF13A;ITGB8;PPP3CA;BACH2;CBLB;CCNG1;FGF14;SIN3A;TAC1;SYT7;ARHGAP15;SYT11;SORCS1;PMVK;ELAVL2;LHFPL3;BMP2;MECOM;DACH1;CBLN2;HPS5;RUNX3;NCAM1;CDK6;LRFN5;XRN2;SMG7;ESR1;CASP8AP2;RANBP17;ALCAM;CNTNAP5')
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	1.0212388004369582e-08	1.4058628636515276e-05	(17776, 364, 837, 44, 'RBPMS2;MEGF11;ADRA1D;HLX;SASH1;PLD5;PDZRN3;GYPC;STXBP6;LLGL2;DTL;ATP10A;KDR;CSRP2;B3GAT2;GLIS3;SPRY4;PERP;CBLN4;ARHGEF26;FST;SMOC2;L3MBTL4;KITLG;KIAA1217;TSKU;MYO16;KIT;ADRA2A;BMP2;DUSP10;MECOM;RASGRF2;GRTP1;E2F7;HTR1F;EPHA3;CBLN2;PROS1;PRKG1;NPY5R;BARX2;PLOD2;RUNX1;SORCS2')
JOHNSTONE_PARVB_TARGETS_2_DN	1.2341915706826571e-08	1.5102390853253448e-05	(17776, 364, 252, 22, 'GMDS;TRERF1;LIMCH1;ANGPT1;SESTD1;MANEA;UBE3A;AGTPBP1;SNRNP48;KIF13A;PPP3CA;HIVEP3;GBE1;FAF1;EMP1;UBR2;DACH1;TMTC3;CDK6;CDK13;CLIC4;ALCAM')
TAATTA_CHX10_01	1.4239803832238085e-08	1.56822959604438e-05	(17776, 364, 583, 35, 'ATP2B4;RARB;NOVA1;BCL6;DMRTA1;ANKS1B;KCNN3;EPHB2;RBFOX1;ERBB4;NCKAP5;TRDN;FST;ARL5B;BACH2;TFEC;STARD13;CBLB;CCNG1;TAC1;VPS13D;TBC1D21;ELAVL2;SI;MECOM;HS3ST1;DACH1;FOXN3;LRFN5;SSPN;NAALADL2;NUP35;HAPLN1;ZNF385B;ADAMTS13')
