index	0	1	2
AACTTT_UNKNOWN	7.38676816969869e-17	8.135047785289167e-13	(17776, 238, 1317, 59, 'PSAT1;VANGL1;OXCT1;PRDM16;SLC5A3;RARB;TRPM3;MYO1E;NEFM;CPNE4;BCL6;CTNNA3;TPM3;ZBTB16;PICALM;PKHD1;DLG2;ARAP2;FAM19A2;ZNF804B;USP25;GABRG1;SGCD;MAPK10;CA10;C3orf58;GPR63;ISL1;NLGN1;ARSJ;NAV3;EED;GNB4;CACNA1H;NRG1;DIP2C;SH3GL2;NETO1;TMTC2;NTM;ENAH;PELO;NPAS3;CDH5;TFAP2D;TP63;GCH1;C16orf47;CAMK2D;SPRY2;FOXO3;ANK3;TCF12;HCN4;FAM49A;ZMAT4;SLC6A15;ADAMTSL1;SLC24A2')
TTGTTT_FOXO4_01	7.79910580080101e-16	4.294577609211076e-12	(17776, 238, 1344, 58, 'MAB21L3;RARB;MYO1E;TRPM3;NEFM;CTNNA3;BCL6;FAT4;ADARB2;CDH12;FGL1;MANEA;TJP2;CD96;DLG2;GABRG1;USP25;MAPK10;DNAH7;C3orf58;PPP1R2P3;GPR63;ISL1;KLF5;NAV3;GRM7;GRM5;GNB4;NTRK2;NRG1;GRIK2;SYT4;TFAP2B;PCDH17;EN2;SLC4A4;CHL1;ZNF532;PELO;PPM1L;NPAS3;CDH5;TFAP2D;PP2D1;TP63;GCH1;C16orf47;SLC22A8;SLC44A1;ANK3;LRFN5;SDK1;ZMAT4;FHL5;HTR3A;SLC24A2;SGCZ;PAWR')
CAGGTG_E12_Q6	2.7837485886051108e-11	8.456145647856586e-08	(17776, 238, 1528, 54, 'RP1L1;PRDM16;CYB5R4;SLC5A3;SLC7A8;MAPK14;MYO1E;SYT1;BCL6;WDPCP;TPM3;RGS7;ZBTB16;ADAMTS19;PICALM;DLG2;ARAP2;PPP1R14C;FAM19A2;MAPK10;CACNG4;CA10;DAPK1;KAZN;GALNT2;CCDC148;SGMS1;NTRK2;CACNA1H;NRG1;SH3GL2;TMTC2;PCDH17;FIS1;CHL1;ARHGAP26;SLC27A2;ZNF532;TP63;GCH1;SLC22A8;SPRY2;NCK2;SLC44A1;ANK3;LRFN5;SDK1;FAM49A;LRIG1;HTR3A;PLOD2;SLC24A2;SYT4;CDH2')
ZWANG_TRANSIENTLY_UP_BY_1ST_EGF_PULSE_ONLY	3.071332297414541e-11	8.456145647856586e-08	(17776, 238, 1080, 44, 'MAB21L3;FANK1;SLC7A8;SYT1;NUAK1;FAT4;BCL6;CACHD1;ZBTB16;LINC00200;TSHZ2;SETBP1;DLG2;SAMD4A;TNS3;TMCC1;DOCK8;MAPK10;CACNG4;DAPK1;AGTPBP1;PPP1R2P3;KAZN;NAV3;CCDC148;AMY1A;ZNF529;FBXO28;TMTC2;SORCS1;VAV3;NAMPT;PSG5;ZNF608;SLC27A2;ENAH;GCH1;KAT2B;RAB9BP1;ANK3;PSD3;FAM49A;LRIG1;BAIAP2')
GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP	4.153749924541796e-09	9.14904958379576e-06	(17776, 238, 160, 15, 'TFAP2D;KAT2B;SLC22A8;FBLN2;NETO1;AKR1C4;FAT4;MDGA2;C19orf12;CA10;NTM;ADAMTS19;ZNF608;PPM1L;SYT4')
ACTGTGA_MIR27A_MIR27B	5.258484897514916e-09	9.651949029388629e-06	(17776, 238, 368, 22, 'VANGL1;MAPK14;SYT1;PTPRT;TMCC1;CA10;BRPF3;ISL1;SGMS1;NRIP1;NETO1;TMTC2;VAV3;PCDH17;EN2;PLEKHH2;ENAH;DKK2;E2F7;CDH5;SPRY2;HCN4')
CAGGTA_AREB6_01	1.1665543878120585e-08	1.8353233532820284e-05	(17776, 238, 528, 26, 'MYO1E;KCNT2;BCL6;WDPCP;ADAMTS19;SEMA7A;TJP2;PKHD1;DLG2;ARAP2;USP25;KLF5;EED;FHIT;NRG1;CHL1;NPAS3;TCF12;SPRY2;SLC44A1;LRFN5;HCN4;C10orf107;FAM49A;ADAMTSL1;PRSS41')
CTTTGT_LEF1_Q2	1.5955120711126304e-08	2.1964218048954247e-05	(17776, 238, 1272, 43, 'VANGL1;SLC5A3;RARB;NEFM;CDH12;BCL6;TPM3;ZBTB16;ADAMTS19;ASTN2;SEMA7A;DGKB;PICALM;SETBP1;CD96;PTPRT;ACTL6A;C3orf58;DAPK1;NAV3;COL11A1;NRG1;GRIK2;XCL2;FBXO28;PCDH17;EN2;CHL1;ZNF532;DKK2;CDH5;TP63;GCH1;TCF12;DDA1;SPRY2;FOXO3;ANK3;SLC44A1;ADAMTSL1;PLOD2;SYT4;CDH2')
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	4.112894222722554e-08	5.0328115638714983e-05	(17776, 238, 562, 26, 'UCN3;ARHGEF10;FANK1;NEFM;ADARB2;ASTN2;DGKB;VPS8;SLC16A7;RGS18;SERPINA1;KAZN;ARSJ;GRIK2;LOC389602;SLC35B4;VPS37D;UXS1;FTMT;NCK2;FOXO3;SDK1;PSD3;UBE2U;FHL5;ADAMTS13')
TGGAAA_NFAT_Q4_01	5.7422277605372113e-08	6.32391543267963e-05	(17776, 238, 1233, 41, 'UCN3;VANGL1;MAB21L3;FANK1;SLC7A8;RARB;NUP210L;TRPM3;MYO1E;BCL6;SYT10;FGL1;TPM3;SEMA7A;PICALM;TJP2;DLG2;USP25;SGCD;MAPK10;KLF5;NAV3;CCDC148;NRG1;TMTC2;TFAP2B;CHL1;ZNF532;ARHGAP29;DKK2;CDH5;TFAP2D;C16orf47;C16orf74;SPRY2;TCF12;UBE2U;ADAMTSL1;FHL5;PLOD2;SYT4')
